post_id,url,category,title,phrase_found,total_occurrences,sentence_context,decision,keep_reason,soften_suggestion,checked_date
2026-08-06-housing-auto-5c27e6,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-5c27e6/,housing,"혼자 사는 직장인, 해외 파견/장기 출장 갈 때? 내 원룸 현명하게 단기 임대주고 돈 버는 법",100%,1,"**내 전월세 계약서에 '전대차 금지' 조항이 명시되어 있는가?** (거의 100% 명시되어 있을 것입니다.)
2.",SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-08-safety-auto-84a0bd,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-84a0bd/,safety,"혼자 사는 당신, 주방이나 보일러실에서 가스 냄새가 희미하게 날 때: 당황하지 않고 안전하게 확인하고 대처하는 현실적인 방법",완전히,3,이는 연소 후 잔여 가스가 완전히 배출되지 않아 발생하는 경우가 많습니다.,SOFTEN,,"""완전히 제거""→""냄새를 크게 줄일 수 있으며""",2026-08-18
2026-07-30-safety-38,https://honsamnote.co.kr/blog/2026-07-30-safety-38/,safety,"퇴근 후 쌓이는 택배 송장, 개인정보 노출 없이 안전하게 버리는 확실한 방법",완벽하게,4,"먼저 확인할 결론

택배 송장에 담긴 개인정보는 유출될 경우 심각한 범죄로 이어질 수 있으므로, 반드시 완벽하게 파기해야 합니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-01-cost-auto-aa6f9d,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-aa6f9d/,cost,"혼자 사는 직장인, 큰돈 드는 가전·가구! 새것 vs 중고 vs 렌탈, 내게 맞는 선택 기준 3가지",가장안전,1,사진이나 영상만 믿지 말고 가능하다면 직접 방문하여 작동 여부를 확인하는 것이 가장 안전합니다.,SOFTEN,,"""반드시"" 삭제 또는 ""권장합니다""로 완화",2026-08-18
2026-08-06-cost-auto-177634,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-177634/,cost,1인 가구 드라이클리닝 비교｜드라이클리닝 비용,완벽하게,2,특히 기름때는 집에서 완벽하게 제거하기 힘듭니다.,SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-11-housing-auto-a2f088,https://honsamnote.co.kr/blog/2026-08-11-housing-auto-a2f088/,housing,문제성 집 체크리스트｜전월세 계약,100%,1,"아무리 신뢰가 가는 중개사라도, 본인의 이익과 당신의 이익이 100% 일치하지 않을 수 있다는 점을 인지해야 합니다.",SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-01-cost-auto-44803f,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-44803f/,cost,"혼자 사는 직장인, 매년 놓치는 연말정산 환급금! 내 돈 최대로 돌려받는 실전 가이드",완벽하게,1,"*   **간소화 서비스 맹신:** 홈택스 간소화 서비스는 매우 편리하지만, 모든 자료가 완벽하게 반영되는 것은 아닙니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-01-safety-auto-0e6262,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-0e6262/,safety,일산화탄소 중독 해결 방법｜보일러 이상,100%,1,만약 경보기가 울린다면 100% 일산화탄소 누출이므로 즉시 대처해야 합니다.,SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-03-cost-auto-d01191,https://honsamnote.co.kr/blog/2026-08-03-cost-auto-d01191/,cost,1인 가구 청소 서비스 방법｜생활비 절약,반드시,4,"*   **최소 계약 기간과 위약금:** 반드시 계약서 내용을 확인하여 최소 계약 기간이 얼마인지, 기간 내 해지 시 위약금은 어떻게 되는지 정확히 숙지해야 합니다.",SOFTEN,,"""반드시"" 삭제 또는 ""권장합니다""로 완화",2026-08-18
2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,housing,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",완벽하게,2,"즉, 전월세 계약을 통해 새로운 집에 입주했다면, 당신의 소중한 보증금을 법적으로 완벽하게 보호받기 위해 전입신고와 확정일자는 선택이 아닌 필수 절차입니다.",SOFTEN,,"""완벽하게 보호""→""보호받기 위해"" (완벽 보장 불가)",2026-08-18
2026-07-30-safety-40,https://honsamnote.co.kr/blog/2026-07-30-safety-40/,safety,"해외여행/출장 떠나는 1인 가구, 집 비우기 전 잊지 말아야 할 안전 점검 순서",완벽하게,1,"꼼꼼하게 짐을 싸고, 공항 가는 길까지 완벽하게 계획을 마쳤죠.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-07-safety-auto-5a549d,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-5a549d/,safety,"혼자 사는 당신, 중요한 서류나 귀중품을 안전하게 보관할 때: 방화/방수 금고 vs. 보안 서류함, 나에게 맞는 선택은?",100%,1,*   **100%는 없다:** 어떤 보관 솔루션도 100% 안전을 보장하지 않습니다.,SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-08-housing-auto-8b0461,https://honsamnote.co.kr/blog/2026-08-08-housing-auto-8b0461/,housing,"혼자 사는 직장인, 새집 입주 후 당황스러운 전기·가스·수도 명의 변경! 순서대로 해결하고 요금 폭탄 피하는 법",완벽하게,1,"*   **관리사무소에만 맹목적으로 의존하기:** 아파트나 오피스텔이라도 관리사무소에서 모든 것을 완벽하게 처리해주리라 믿고 내가 직접 확인하지 않으면, 간혹 누락되거나 잘못된 정보로 인해 문제가 발생할 수 있습니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-09-housing-auto-da13ec,https://honsamnote.co.kr/blog/2026-08-09-housing-auto-da13ec/,housing,나 홀로 이사 체크리스트｜이사 당일,완벽하게,1,"체크리스트

혼자 사는 당신의 이사 당일, 이 체크리스트 하나로 모든 것을 완벽하게 관리하세요.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-12-cost-auto-b175c0,https://honsamnote.co.kr/blog/2026-08-12-cost-auto-b175c0/,cost,"혼자 사는 직장인, 빈방에 가구 채워 넣으려니 막막하다면? 구매 vs 렌탈, 내게 맞는 최적의 가구 선택 가이드",반드시,2,"*   **중고 가구:**
    *   **실물 확인 필수:** 사진과 실물이 다를 수 있으므로, 반드시 직접 보고 상태를 확인하세요.",SOFTEN,,"""완전히 제거""→""곰팡이 발생 정도와 위치에 따라 효과가 다를 수 있음""",2026-08-18
