cluster_id,cluster_name,category,article_count,avg_match_score,dominant_intent,intent_consistency_pct,has_representative_article,avg_internal_links,has_pillar,most_similar_cluster,similar_cluster_overlap,proposed_action,reason
oneroom-storage,원룸 전체 수납,storage,56,1.79,질문형,50,예,11.68,예,주방 수납,0.02,keep(이미 Pillar 있음),이미 /guide/oneroom-storage/ Pillar 페이지가 있음 — 구조 변경 불필요
general-living-cost,생활비 절약 전반,cost,53,1.43,비교형,62.3,아니오,11.57,아니오,구독·정기결제,0.01,no-Pillar-needed(카테고리 포괄),"글 수(53)는 많지만 클러스터 정의 자체가 카테고리 전체와 거의 같은 ""전반"" 성격 — 검색의도가 너무 넓어 Pillar 후보에서 제외(2단계 pillar-plan.csv와 동일 판정)"
emergency-response,응급상황 대처,safety,42,1.24,방법형,26.2,예,11.02,아니오,도어락·보안,0.04,split-too-broad,지배적 검색의도(방법형) 비중이 26.2%로 낮음 — 서로 다른 검색의도가 섞여 있어 세분화 검토
food-waste,식재료 낭비 줄이기,food,27,1.19,질문형,40.7,아니오,11.59,아니오,장보기·식비절약,0.04,rename-or-refine-matchTerms,최고 matchScore가 2로 낮음(대표 글이라 할 만한 글이 없음) — 클러스터 이름/matchTerms가 실제 글 내용과 느슨하게만 맞음
laundry-clothing,세탁·옷관리,cleaning,23,1.78,질문형,47.8,예,12.7,예,욕실 청소,0.02,keep(이미 Pillar 있음),이미 /guide/laundry/ Pillar 페이지가 있음 — 구조 변경 불필요
loneliness-isolation,외로움·고립감,lifestyle,19,1.58,질문형,42.1,예,12.42,예,생활리듬·시간관리,0.03,keep(이미 Pillar 있음),이미 /guide/loneliness/ Pillar 페이지가 있음 — 구조 변경 불필요
bathroom-cleaning,욕실 청소,cleaning,14,1.21,질문형,85.7,아니오,11.79,아니오,주방 청소,0.05,rename-or-refine-matchTerms,최고 matchScore가 2로 낮음(대표 글이라 할 만한 글이 없음) — 클러스터 이름/matchTerms가 실제 글 내용과 느슨하게만 맞음
deposit,보증금,housing,13,1.38,질문형,30.8,아니오,11.31,아니오,전월세 계약,0.04,split-too-broad,지배적 검색의도(질문형) 비중이 30.8%로 낮음 — 서로 다른 검색의도가 섞여 있어 세분화 검토
kitchen-cleaning,주방 청소,cleaning,12,1.92,질문형,58.3,예,11.17,아니오,욕실 청소,0.05,keep,현재 상태로 유지 — 별도 조치 불필요
daily-rhythm,생활리듬·시간관리,lifestyle,12,1.17,문제해결형,41.7,아니오,13.25,아니오,외로움·고립감,0.03,rename-or-refine-matchTerms,최고 matchScore가 2로 낮음(대표 글이라 할 만한 글이 없음) — 클러스터 이름/matchTerms가 실제 글 내용과 느슨하게만 맞음
