post_id,url,category,title,phrase_found,total_occurrences,sentence_context,decision,keep_reason,soften_suggestion,checked_date
2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,housing,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",반드시,10,"먼저 확인할 결론
마음에 드는 원룸을 찾았어도, 계약서에 서명하기 전에 최소한 '계약 관련 서류', '건물 상태 및 옵션', '주변 환경', '숨겨진 비용' 이 네 가지 핵심 포인트를 반드시 꼼꼼히 확인하고 기록해야 합니다.",KEEP,"법적 의무 절차 강조 — ""반드시"" 사용 적절. 단 법률 내용 정확성 별도 확인 필요.",,2026-08-18
2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,housing,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",절대,2,"**주의사항:**
*   **구두 계약은 절대 금지:** 중개인이나 집주인과의 모든 약속은 반드시 계약서 특약으로 명시하고 서명해야 합니다.",REVIEW,,,2026-08-18
2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,housing,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",가장안전,1,*   **계약 당일 등기부등본 최종 재확인:** 계약 체결 직전에 다시 한번 등기부등본을 열람하여 혹시 모를 변동 사항(근저당 설정 등)이 없는지 최종 확인하는 것이 가장 안전합니다.,REVIEW,,,2026-08-18
2026-07-30-safety-36,https://honsamnote.co.kr/blog/2026-07-30-safety-36/,safety,"혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요",반드시,1,조금이라도 가스 냄새가 의심된다면 '괜찮겠지'라고 넘기지 말고 반드시 다음 해결 순서에 따라 행동해야 합니다.,KEEP,안전 지침 문맥 — 강한 지시 표현이 적절. 사용자 보호에 필요.,,2026-08-18
2026-07-30-safety-36,https://honsamnote.co.kr/blog/2026-07-30-safety-36/,safety,"혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요",절대,10,"해결 순서

**Step 1: 침착하게 행동하고, 절대 패닉에 빠지지 마세요.**
가장 먼저 마음을 다잡는 것이 중요합니다.",REVIEW,,,2026-08-18
2026-07-30-safety-36,https://honsamnote.co.kr/blog/2026-07-30-safety-36/,safety,"혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요",무조건,1,무조건 전문가에게 맡겨야 합니다.,REVIEW,,,2026-08-18
2026-07-30-safety-36,https://honsamnote.co.kr/blog/2026-07-30-safety-36/,safety,"혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요",완전히,1,"불이 제대로 붙지 않았거나, 조리 후 밸브를 완전히 잠그지 않은 경우 가스가 미량 새어 나올 수 있습니다.",REVIEW,,,2026-08-18
2026-07-30-safety-36,https://honsamnote.co.kr/blog/2026-07-30-safety-36/,safety,"혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요",확실히,2,"**주의사항:**
*   **예방이 최선:** 가스 사용 후에는 항상 중간 밸브를 확실히 잠그는 습관을 들이세요.",REVIEW,,,2026-08-18
2026-08-06-housing-auto-5c27e6,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-5c27e6/,housing,"혼자 사는 직장인, 해외 파견/장기 출장 갈 때? 내 원룸 현명하게 단기 임대주고 돈 버는 법",반드시,5,반드시 **서면으로 명확하게 조건들을 합의**하고 집주인의 서명(또는 인감)을 받아두어야 합니다.,REVIEW,,,2026-08-18
2026-08-06-housing-auto-5c27e6,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-5c27e6/,housing,"혼자 사는 직장인, 해외 파견/장기 출장 갈 때? 내 원룸 현명하게 단기 임대주고 돈 버는 법",절대,3,"먼저 확인할 결론
혼자 사는 당신의 원룸이나 오피스텔을 임대인(집주인)의 동의 없이 다른 사람에게 **무단으로 단기 임대(전대차)하는 것은 절대 금물**입니다.",REVIEW,,,2026-08-18
2026-08-06-housing-auto-5c27e6,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-5c27e6/,housing,"혼자 사는 직장인, 해외 파견/장기 출장 갈 때? 내 원룸 현명하게 단기 임대주고 돈 버는 법",100%,1,"**내 전월세 계약서에 '전대차 금지' 조항이 명시되어 있는가?** (거의 100% 명시되어 있을 것입니다.)
2.",SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-06-housing-auto-5c27e6,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-5c27e6/,housing,"혼자 사는 직장인, 해외 파견/장기 출장 갈 때? 내 원룸 현명하게 단기 임대주고 돈 버는 법",가장안전,1,*   **지인 추천:** 가장 안전한 방법입니다.,REVIEW,,,2026-08-18
2026-08-08-safety-auto-84a0bd,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-84a0bd/,safety,"혼자 사는 당신, 주방이나 보일러실에서 가스 냄새가 희미하게 날 때: 당황하지 않고 안전하게 확인하고 대처하는 현실적인 방법",반드시,2,반드시 전문가의 점검을 받아 원인을 해결해야 합니다.,REVIEW,,,2026-08-18
2026-08-08-safety-auto-84a0bd,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-84a0bd/,safety,"혼자 사는 당신, 주방이나 보일러실에서 가스 냄새가 희미하게 날 때: 당황하지 않고 안전하게 확인하고 대처하는 현실적인 방법",절대,8,냄새의 정도와 관계없이 **절대 불꽃이나 전기 스위치를 사용하지 마세요.** 그리고 **즉시 도시가스 고객센터나 119에 신고**하여 전문가의 도움을 받는 것이 가장 안전하고 현명한 방법입니다.,KEEP,안전 지침 문맥 — 강한 지시 표현이 적절. 사용자 보호에 필요.,,2026-08-18
2026-08-08-safety-auto-84a0bd,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-84a0bd/,safety,"혼자 사는 당신, 주방이나 보일러실에서 가스 냄새가 희미하게 날 때: 당황하지 않고 안전하게 확인하고 대처하는 현실적인 방법",완전히,3,이는 연소 후 잔여 가스가 완전히 배출되지 않아 발생하는 경우가 많습니다.,SOFTEN,,"""완전히 제거""→""냄새를 크게 줄일 수 있으며""",2026-08-18
2026-08-08-safety-auto-84a0bd,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-84a0bd/,safety,"혼자 사는 당신, 주방이나 보일러실에서 가스 냄새가 희미하게 날 때: 당황하지 않고 안전하게 확인하고 대처하는 현실적인 방법",가장안전,1,냄새의 정도와 관계없이 **절대 불꽃이나 전기 스위치를 사용하지 마세요.** 그리고 **즉시 도시가스 고객센터나 119에 신고**하여 전문가의 도움을 받는 것이 가장 안전하고 현명한 방법입니다.,KEEP,안전 지침 문맥 — 강한 지시 표현이 적절. 사용자 보호에 필요.,,2026-08-18
2026-07-30-safety-35,https://honsamnote.co.kr/blog/2026-07-30-safety-35/,safety,"혼자 사는 당신, 늦은 밤 퇴근 후 불안한 현관 보안 이대로 강화하세요",반드시,9,"반드시 본인 현관문 앞 공간만 촬영하고, 카메라 설치에 대한 아파트/오피스텔 관리 규정을 확인하세요.",REVIEW,,,2026-08-18
2026-07-30-safety-35,https://honsamnote.co.kr/blog/2026-07-30-safety-35/,safety,"혼자 사는 당신, 늦은 밤 퇴근 후 불안한 현관 보안 이대로 강화하세요",무조건,1,무조건 비싼 장치보다는 내 상황에 맞는 현실적인 솔루션을 찾는 것이 중요합니다.,REVIEW,,,2026-08-18
2026-07-30-safety-35,https://honsamnote.co.kr/blog/2026-07-30-safety-35/,safety,"혼자 사는 당신, 늦은 밤 퇴근 후 불안한 현관 보안 이대로 강화하세요",완전히,4,"**추가 보조 잠금장치 (락힌지, 현관문 이중잠금장치):**
    *   **락힌지(Lock Hinge):** 문 안쪽에 설치하는 간단한 잠금장치로, 문이 완전히 열리지 않도록 막아줍니다.",REVIEW,,,2026-08-18
2026-08-01-safety-auto-835af8,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-835af8/,safety,"혼자 사는 당신, 보일러나 난방기 사용 중 갑자기 어지럽고 메스꺼울 때? 침묵의 살인자 일산화탄소 대처법",반드시,3,특히 난방 기구를 장시간 사용하거나 요리 후에는 반드시 환기를 시켜 유해 가스 축적을 막아야 합니다.,REVIEW,,,2026-08-18
2026-08-01-safety-auto-835af8,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-835af8/,safety,"혼자 사는 당신, 보일러나 난방기 사용 중 갑자기 어지럽고 메스꺼울 때? 침묵의 살인자 일산화탄소 대처법",절대,5,절대 머뭇거리지 마세요.,REVIEW,,,2026-08-18
2026-08-01-safety-auto-835af8,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-835af8/,safety,"혼자 사는 당신, 보일러나 난방기 사용 중 갑자기 어지럽고 메스꺼울 때? 침묵의 살인자 일산화탄소 대처법",무조건,1,"먼저 확인할 결론
난방 기구(보일러, 가스레인지, 난로 등) 사용 중 두통, 어지럼증, 메스꺼움, 구토, 무력감 등 원인 불명의 감기 몸살과 유사한 증상이 나타난다면, **즉시 모든 난방 기구를 끄고, 집안의 모든 창문을 활짝 열어 환기한 다음, 곧바로 실외로 대피하여 119에 신고해야 합니다.** 증상이 경미하더라도 무조건 대피하고 의료 전문가의 도움을",KEEP,안전 지침 문맥 — 강한 지시 표현이 적절. 사용자 보호에 필요.,,2026-08-18
2026-08-01-safety-auto-835af8,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-835af8/,safety,"혼자 사는 당신, 보일러나 난방기 사용 중 갑자기 어지럽고 메스꺼울 때? 침묵의 살인자 일산화탄소 대처법",완전히,1,*   **단순히 창문만 살짝 열고 마는 것:** 충분한 환기가 이루어지지 않아 실내 일산화탄소 농도가 완전히 낮아지지 않을 수 있습니다.,REVIEW,,,2026-08-18
2026-08-10-cost-auto-88aeb7,https://honsamnote.co.kr/blog/2026-08-10-cost-auto-88aeb7/,cost,1인 가구 주방 비교｜전기레인지 추천,반드시,10,"요리 빈도 높은 1인 가구 |

3단계: 예산 및 주거 형태 고려, 최종 선택하기
*   **월세/전세라면**: 빌트인 설치는 집주인과 반드시 상의해야 합니다.",REVIEW,,,2026-08-18
2026-07-30-safety-37,https://honsamnote.co.kr/blog/2026-07-30-safety-37/,safety,나 혼자 사는 집에 불이 났다면? 당황하지 않고 대피하는 5단계 행동 수칙,반드시,2,"*   **주의:** 초기 진압은 '가능하면' 시도하는 것이지, '반드시' 해야 하는 것이 아닙니다.",REVIEW,,,2026-08-18
