post_id,title,url,category,classification,proposed_cluster_or_candidate,reasoning,sibling_count,confidence
2026-08-01-cleaning-auto-edbbf8,미니 식기세척기 비교｜식기세척기 추천,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-edbbf8/,청소·세탁·집안일,A,청소도구·시간절약,"정확한 matchTerm 문자열은 없지만 ""청소도구·시간절약"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-03-cleaning-auto-fc046f,"바쁜 1인 가구 직장인, 매일 아침 구겨진 옷? 다림질 vs 스팀다리미, 현명한 선택 기준",https://honsamnote.co.kr/blog/2026-08-03-cleaning-auto-fc046f/,청소·세탁·집안일,A,청소도구·시간절약,"정확한 matchTerm 문자열은 없지만 ""청소도구·시간절약"" 클러스터 정의와 토큰 3개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-06-cleaning-auto-643cdf,"혼자 사는 당신, 이사/대청소 후 버릴 곳 없는 가구·가전·매트리스? 10분 만에 깔끔하게 처리하는 현실 가이드",https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-643cdf/,청소·세탁·집안일,A,쓰레기·폐기,"정확한 matchTerm 문자열은 없지만 ""쓰레기·폐기"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-07-cleaning-auto-21d8af,다림질 매트 비교｜다리미판,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-21d8af/,청소·세탁·집안일,A,청소도구·시간절약,"정확한 matchTerm 문자열은 없지만 ""청소도구·시간절약"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-14-cleaning-auto-1ca76b,음식물 처리 비교｜음식물 쓰레기통,https://honsamnote.co.kr/blog/2026-08-14-cleaning-auto-1ca76b/,청소·세탁·집안일,A,냄새 제거,"정확한 matchTerm 문자열은 없지만 ""냄새 제거"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-14-cleaning-auto-b4a47e,"혼자 사는 당신, 청소해도 쌓이는 먼지와 답답한 공기? 딱 30분, 쾌적하고 깔끔한 집 만드는 현실적인 먼지 제거 및 환기 루틴",https://honsamnote.co.kr/blog/2026-08-14-cleaning-auto-b4a47e/,청소·세탁·집안일,A,냄새 제거,"정확한 matchTerm 문자열은 없지만 ""냄새 제거"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-07-30-cost-7,혼자 사는데 왜 이렇게 비싸지? 관리비 내역 파헤쳐 불필요한 지출 줄이는 법,https://honsamnote.co.kr/blog/2026-07-30-cost-7/,생활비 최적화,A,생활비 절약 전반,"정확한 matchTerm 문자열은 없지만 ""생활비 절약 전반"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-07-30-cost-8,"혼자 사는 직장인, 월급은 통장을 스쳐갈 뿐? 나만의 적정 생활비 기준 세우고 지출 최적화하는 3단계",https://honsamnote.co.kr/blog/2026-07-30-cost-8/,생활비 최적화,A,통신비,"정확한 matchTerm 문자열은 없지만 ""통신비"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-07-30-food-11,"퇴근 후 지친 당신, 냉장고 식재료 썩히지 않고 알뜰하게 다 먹는 보관 기간 가이드",https://honsamnote.co.kr/blog/2026-07-30-food-11/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-01-food-auto-7f290f,"퇴근 후 요리 시간 아끼는 1인 가구 직장인, 미니 다지기 vs. 칼질: 당신의 손목과 시간을 위한 현명한 선택",https://honsamnote.co.kr/blog/2026-08-01-food-auto-7f290f/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-03-food-auto-fb2380,"퇴근 후 요리 시간 아끼는 1인 가구, 손질 채소 vs. 통 채소: 당신의 식탁을 위한 현명한 선택",https://honsamnote.co.kr/blog/2026-08-03-food-auto-fb2380/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-05-food-auto-1636b6,"혼자 사는 직장인, 직접 요리한 음식 식탁에 뒀거나 여러 번 데워 먹을 때: 배탈 없이 안전하게 먹을 현실적인 기준",https://honsamnote.co.kr/blog/2026-08-05-food-auto-1636b6/,혼밥·식재료 관리,A,식재료 낭비 줄이기,"정확한 matchTerm 문자열은 없지만 ""식재료 낭비 줄이기"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-06-food-auto-993221,"혼자 사는 직장인, 요리의 깊은 맛, 육수·양념: 직접 만들까 vs. 시판 농축액·분말형 제품 쓸까? 당신의 시간과 입맛을 위한 현명한 선택",https://honsamnote.co.kr/blog/2026-08-06-food-auto-993221/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-07-food-auto-55d572,"혼자 사는 직장인, 퇴근 후 저녁 요리 망설일 때: 주말 2시간으로 평일 요리 시간 10분 만드는 스마트 식재료 준비 루틴",https://honsamnote.co.kr/blog/2026-08-07-food-auto-55d572/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-07-food-auto-5b5eb1,"혼자 사는 직장인, 마트/반찬가게 '조리된 반찬' 살까 말까 망설일 때: 집밥 만족도 높이는 현명한 선택 가이드",https://honsamnote.co.kr/blog/2026-08-07-food-auto-5b5eb1/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-07-food-auto-78eff9,"혼밥 후 설거지 산더미에 지칠 때: 손 설거지 vs 미니 식기세척기, 당신의 시간과 노동력을 아껴줄 현명한 선택 가이드",https://honsamnote.co.kr/blog/2026-08-07-food-auto-78eff9/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-07-food-auto-9b0d72,"혼자 사는 직장인, 좁은 주방에 꽉 찬 식료품 관리 어려울 때: 효율적인 '나만의 미니 팬트리' 만드는 현실적인 전략",https://honsamnote.co.kr/blog/2026-08-07-food-auto-9b0d72/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-08-food-auto-76d24e,"1인 가구 직장인, 혼자 요리하고 남은 '애매한 한 끼분' 음식, 버리지 않고 다음 끼니까지 알뜰하게 즐기는 법",https://honsamnote.co.kr/blog/2026-08-08-food-auto-76d24e/,혼밥·식재료 관리,A,식재료 낭비 줄이기,"정확한 matchTerm 문자열은 없지만 ""식재료 낭비 줄이기"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-08-food-auto-89f7c0,"1인 가구 직장인, 쌀 한 포대 앞에서 망설일 때: 소량 팩 vs. 대용량, 아니면 즉석밥? 당신의 밥상과 지갑을 위한 최적의 선택",https://honsamnote.co.kr/blog/2026-08-08-food-auto-89f7c0/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-10-food-auto-b034b3,"혼자 사는 직장인, 점심 도시락 망설일 때: 귀찮음 없이 매일 든든한 '나만의 스마트 도시락' 만드는 법",https://honsamnote.co.kr/blog/2026-08-10-food-auto-b034b3/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-11-food-auto-452e94,"혼자 사는 직장인, 매일 신선 채소 챙겨 먹기 어려울 때: 샐러드 정기배송 vs. 직접 재료 손질, 당신의 건강과 지갑을 위한 현명한 선택",https://honsamnote.co.kr/blog/2026-08-11-food-auto-452e94/,혼밥·식재료 관리,A,혼밥 레시피·식단,"정확한 matchTerm 문자열은 없지만 ""혼밥 레시피·식단"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-12-food-auto-8fffcc,"혼자 사는 직장인, 요리한 음식 나눠 담을 때: 플라스틱 vs. 유리 vs. 실리콘, 당신의 냉장고와 건강을 위한 현명한 선택",https://honsamnote.co.kr/blog/2026-08-12-food-auto-8fffcc/,혼밥·식재료 관리,A,식재료 낭비 줄이기,"정확한 matchTerm 문자열은 없지만 ""식재료 낭비 줄이기"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-07-30-housing-69,"한겨울 밤, 1인 가구 보일러 고장? 당황 말고 이 순서대로 대처하세요",https://honsamnote.co.kr/blog/2026-07-30-housing-69/,주거·계약·이사,A,이사 준비,"정확한 matchTerm 문자열은 없지만 ""이사 준비"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-01-housing-auto-1c1518,"혼자 사는 직장인, 이사 갈 때 대형 폐기물 처리? 시간과 돈 아끼는 3가지 선택 비교",https://honsamnote.co.kr/blog/2026-08-01-housing-auto-1c1518/,주거·계약·이사,A,이사 준비,"정확한 matchTerm 문자열은 없지만 ""이사 준비"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-01-housing-auto-bd24e0,"혼자 사는 직장인, 늦은 밤 이웃 소음에 잠 못 들 때? 감정 소모 줄이고 똑똑하게 해결하는 순서",https://honsamnote.co.kr/blog/2026-08-01-housing-auto-bd24e0/,주거·계약·이사,A,집주인 문제,"정확한 matchTerm 문자열은 없지만 ""집주인 문제"" 클러스터 정의와 토큰 1개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-04-housing-auto-24e082,"혼자 사는 직장인, 빈집 걱정 이제 그만! 우리 집 지키는 스마트 홈CCTV vs 보안 서비스, 뭘 골라야 현명할까?",https://honsamnote.co.kr/blog/2026-08-04-housing-auto-24e082/,주거·계약·이사,A,이사 준비,"정확한 matchTerm 문자열은 없지만 ""이사 준비"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-04-housing-auto-cbaa3c,"혼자 사는 직장인, 첫 집 계약 전세 vs 월세? 내 돈 아끼는 현명한 선택 가이드",https://honsamnote.co.kr/blog/2026-08-04-housing-auto-cbaa3c/,주거·계약·이사,A,전월세 계약,"정확한 matchTerm 문자열은 없지만 ""전월세 계약"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-08-housing-auto-fd6c09,"혼자 사는 직장인, 매년 겨울 외풍 때문에 난방비 폭탄 걱정이라면? 문풍지 vs 전문 시공, 내 돈 아끼는 현명한 선택 가이드",https://honsamnote.co.kr/blog/2026-08-08-housing-auto-fd6c09/,주거·계약·이사,A,이사 준비,"정확한 matchTerm 문자열은 없지만 ""이사 준비"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
2026-08-09-housing-auto-1e381e,"혼자 사는 직장인, 장기간 집 비울 때? 스마트 기기 vs 지인 vs 관리사무소, 뭘 믿어야 안심될까?",https://honsamnote.co.kr/blog/2026-08-09-housing-auto-1e381e/,주거·계약·이사,A,이사 준비,"정확한 matchTerm 문자열은 없지만 ""이사 준비"" 클러스터 정의와 토큰 2개 겹침 — 사람이 matchTerms 보강 여부 검토 필요",,MEDIUM
