post_id,category,matched_pattern,snippet,recommended_action
2026-07-29-cost-1,cost,법률·행정 용어,시점에 집주인과 월세 또는 보증금 인하를 협상해보세요. 주변,수치·법규 최신성 확인 필요
2026-07-30-cost-3,cost,금액,"손실액을 따져봅니다. (월 5,000원 할인처럼 큰 혜택이라면 유",수치·법규 최신성 확인 필요
2026-07-30-cost-4,cost,퍼센트,고 있나요? (예: 월급의 20% 이상이라면 과도할 가능성이,수치·법규 최신성 확인 필요
2026-07-30-cost-5,cost,금액,"절약할 수 있습니다. 월 5,000원짜리 구독 서비스 3개를 해",수치·법규 최신성 확인 필요
2026-07-30-cost-8,cost,퍼센트,"세요. 목표는 월급의 20~30% 이상을 권장하지만, 본인의",수치·법규 최신성 확인 필요
2026-07-30-housing-42,housing,퍼센트,+ 전세보증금)이 매매가의 70%를 넘지 않는 것이 안전하다,수치·법규 최신성 확인 필요
2026-07-30-housing-42,housing,법률·행정 용어,"매물 정보(평수, 층수, 보증금/월세, 관리비 내역, 옵션",수치·법규 최신성 확인 필요
2026-07-30-housing-44,housing,금액,* 주민센터 방문: 600원 * 인터넷 등,수치·법규 최신성 확인 필요
2026-07-30-housing-44,housing,법률·행정 용어,하는 일투성입니다. 특히 보증금 수천만 원이 걸린 전월세,수치·법규 최신성 확인 필요
2026-07-30-housing-45,housing,퍼센트,고려해 보세요. 약 10~20% 정도 비용 절감 효과를 볼,수치·법규 최신성 확인 필요
2026-07-30-housing-45,housing,법률·행정 용어,필수 준비** 1. **전입신고 및 확정일자 계획 수립**,수치·법규 최신성 확인 필요
2026-07-30-housing-46,housing,법률·행정 용어,"듯한데, 혹시 가장 큰돈인 보증금은 제대로 돌려받을 수 있을",수치·법규 최신성 확인 필요
2026-07-30-housing-49,housing,법률·행정 용어,"나갈 때 퇴실 청소 때문에 보증금에서 돈 떼이면 어쩌지?""",수치·법규 최신성 확인 필요
2026-07-30-safety-34,safety,법률·행정 용어,. 불필요한 구급차 이용은 과태료 대상이 될 수 있습니다.,수치·법규 최신성 확인 필요
2026-07-31-housing-71,housing,법령 조항,작됩니다. 일반적으로 민법 제623조(임대인의 의무)에 따라 *,수치·법규 최신성 확인 필요
2026-07-31-housing-71,housing,법률·행정 용어,*소액심판 청구**: 소액 보증금 반환이나 수리비 청구 등의,수치·법규 최신성 확인 필요
2026-07-31-safety-72,safety,퍼센트,", 과전력으로 인한 위험의 80% 이상은 예방할 수 있습니다",수치·법규 최신성 확인 필요
2026-08-01-cost-auto-0d71f8,cost,금액,"서비스):** 월정액(예: 4,900원)을 내면 특정 횟수만큼 배",수치·법규 최신성 확인 필요
2026-08-01-cost-auto-44803f,cost,퍼센트,율 최적화:** 총급여액의 25% 초과분에 대해 공제됩니다.,수치·법규 최신성 확인 필요
2026-08-01-cost-auto-4a41b3,cost,금액,* **초기 비용 0원:** 세탁기 구매 비용이나,수치·법규 최신성 확인 필요
2026-08-01-cost-auto-8e14b1,cost,퍼센트,라 단위 가격을 최대 20~30%까지 절약할 수 있습니다.,수치·법규 최신성 확인 필요
2026-08-01-cost-auto-aa6f9d,cost,퍼센트,대. (할인율에 따라 10~30% 절약 가능). *,수치·법규 최신성 확인 필요
2026-08-01-cost-auto-e9d2d3,cost,금액,"용한다고 가정하면, 월 약 8,300원 + 기타 비용)",수치·법규 최신성 확인 필요
2026-08-01-cost-auto-e9d2d3,cost,법률·행정 용어,료 × 의무 사용 기간 + 보증금(있다면) + 추가 비용(초,수치·법규 최신성 확인 필요
2026-08-01-housing-auto-18e480,housing,법률·행정 용어,"실을 막고, 당신의 소중한 보증금과 가재도구, 그리고 혹시",수치·법규 최신성 확인 필요
2026-08-01-housing-auto-1c1518,housing,금액,"수수료 (예: 작은 의자 1,000원~3,000원, 침대 1만원",수치·법규 최신성 확인 필요
2026-08-01-housing-auto-1c1518,housing,법률·행정 용어,때문입니다. 규정 위반 시 과태료가 부과될 수 있습니다. 또,수치·법규 최신성 확인 필요
2026-08-01-housing-auto-abec0f,housing,퍼센트,"""이번에 보증금/월세 15% 올리든지, 아니면 이번 달",수치·법규 최신성 확인 필요
2026-08-01-housing-auto-abec0f,housing,법령 조항,주택임대차보호법 제6조의3에 따라 임차인이 희망할,수치·법규 최신성 확인 필요
2026-08-01-housing-auto-abec0f,housing,법률·행정 용어,"가 옵니다. ""이번에 보증금/월세 15% 올리든지, 아",수치·법규 최신성 확인 필요
2026-08-01-housing-auto-ace922,housing,금액,"람 가능하며, 수수료는 약 700원입니다. * *",수치·법규 최신성 확인 필요
2026-08-01-housing-auto-ace922,housing,법률·행정 용어,"이사 가야 하나?"", ""내 보증금은 어떻게 되는 거지?"",",수치·법규 최신성 확인 필요
2026-08-01-housing-auto-c039f6,housing,금액,센터에서 소정의 수수료(약 600원)가 발생할 수 있습니다.,수치·법규 최신성 확인 필요
2026-08-01-housing-auto-c039f6,housing,퍼센트,금 및 월세 인상률은 최대 5%로 제한됩니다. 이 제도는,수치·법규 최신성 확인 필요
2026-08-01-housing-auto-c039f6,housing,법률·행정 용어,"친구는 ""아무것도 안 하면 보증금 날릴 수도 있다""며 겁을",수치·법규 최신성 확인 필요
2026-08-01-housing-auto-e11fd3,housing,퍼센트,비용:** 새 제품의 20~50% 수준으로 매우 저렴합니다.,수치·법규 최신성 확인 필요
2026-08-01-housing-auto-e6f8ea,housing,법률·행정 용어,"* 새 집으로의 전입신고, 확정일자 등 행정 절차도",수치·법규 최신성 확인 필요
2026-08-01-housing-auto-ecfb76,housing,법률·행정 용어,"하는 건가?"" ""집주인이 보증금을 안 돌려주면 어떡하지?""",수치·법규 최신성 확인 필요
2026-08-01-safety-auto-0e6262,safety,퍼센트,. 만약 경보기가 울린다면 100% 일산화탄소 누출이므로 즉시,수치·법규 최신성 확인 필요
2026-08-01-safety-auto-4f0708,safety,퍼센트,[ ] 스마트폰은 항상 50% 이상 충전 상태를 유지하고,수치·법규 최신성 확인 필요
2026-08-03-cost-auto-4d199c,cost,법률·행정 용어,"니다. * **과태료:** 주차 위반, 속도 위",수치·법규 최신성 확인 필요
2026-08-03-housing-auto-5b4f05,housing,금액,"** 우편료 약 3,000~5,000원 선. (페이지 수에 따라",수치·법규 최신성 확인 필요
2026-08-03-housing-auto-5b4f05,housing,퍼센트,":** 인지대 (소송가액의 0.5%), 송달료 (약 30,00",수치·법규 최신성 확인 필요
2026-08-03-housing-auto-5b4f05,housing,법률·행정 용어,"않았다거나, 하자가 있다며 보증금 반환을 미루기 시작합니다.",수치·법규 최신성 확인 필요
2026-08-03-housing-auto-e4e5c4,housing,법률·행정 용어,때 괜히 원상복구 비용이나 보증금에서 까일까 봐 벌써부터 걱,수치·법규 최신성 확인 필요
2026-08-03-housing-auto-f53851,housing,법률·행정 용어,더 비싼 경우가 많습니다. 보증금도 높게 책정될 수 있습니다,수치·법규 최신성 확인 필요
