post_id,title,url,category,category_name,tags,keywords,meta_title,meta_description,search_intent,primary_keyword,secondary_keywords,duplicate_risk,recommended_cluster,recommended_pillar,title_needs_fix,meta_needs_fix,internal_link_targets,merge_candidate,keep_status,recommended_title,recommended_meta_description,seo_priority,factcheck_needed,sc_impressions,sc_clicks,sc_ctr,sc_average_position
2026-07-30-food-14,"바쁜 1인 가구 직장인, 편의점 식사로 건강과 지갑 동시에 잡는 실전 조합",https://honsamnote.co.kr/blog/2026-07-30-food-14/,food,혼밥·식재료 관리,1인 가구; 편의점; 혼밥; 식비 절약; 건강식; 직장인,편의점 식사; 편의점 조합; 혼밥 레시피; 식비 관리; 건강한 혼밥,"바쁜 1인 가구 직장인, 편의점 식사로 건강과 지갑 동시에 잡는 실전 조합 | 혼삶노트",퇴근 후 요리할 시간 없는 1인 가구 직장인을 위한 편의점 식사 가이드. 매일 먹어도 질리지 않고 영양 균형까지 맞춘 가성비 편의점 조합 노하우를 알려드립니다.,문제해결형,편의점 식사,편의점 조합; 혼밥 레시피; 식비 관리; 건강한 혼밥,낮음,혼밥 레시피·식단,예,아니오,예,2026-08-07-food-auto-e08b8c; 2026-07-29-food-9; 2026-07-30-food-15; 2026-08-06-food-auto-585c1b; 2026-08-09-food-auto-e39c1f; 2026-08-10-food-auto-0b9c15,아니오,유지,편의점 식사 해결 방법｜혼밥·식재료 관리,"결론부터 말씀드리자면, 편의점 식사도 충분히 건강하고 만족스럽게 즐길 수 있습니다.",93,아니오,,,,
2026-07-29-cost-1,"월급날 한숨만? 1인 가구 직장인의 한 달 고정비, 이대로 따라 하면 무조건 줄어듭니다",https://honsamnote.co.kr/blog/2026-07-29-cost-1/,cost,생활비 최적화,1인 가구; 고정비; 생활비; 절약; 재테크; 직장인,1인 가구 고정비; 고정비 줄이는 방법; 생활비 절약 팁; 월급 관리; 혼자 살기 비용,"월급날 한숨만? 1인 가구 직장인의 한 달 고정비, 이대로 따라 하면 무조건 줄어듭니다 | 혼삶노트","혼자 사는 직장인, 월급은 짧고 고정비는 길다고 느끼시나요? 통장 스치는 월급을 붙잡고 싶다면, 이 글이 제시하는 3단계 현실적인 고정비 정리법으로 매달 현금을 확보하세요. 시간과 돈을 아끼는 첫걸음입니다.",질문형,1인 가구 고정비,고정비 줄이는 방법; 생활비 절약 팁; 월급 관리; 혼자 살기 비용,낮음,생활비 절약 전반,예,예,아니오,2026-08-10-cost-auto-78f79c; 2026-08-01-cost-auto-0d71f8; 2026-08-03-cost-auto-4d199c; 2026-08-06-cost-auto-515c77; 2026-08-06-cost-auto-e8c32b; 2026-08-07-cost-auto-d674a8,아니오,유지,1인 가구 고정비 알아보기,"매달 나가는 고정비를 확실히 줄이고 싶다면, 단 3단계만 기억하고 실천하세요.",87,예,,,,
2026-07-30-cleaning-32,"퇴근 후 녹초가 된 1인 가구 직장인, 집안일 자동화 가전으로 얻을 수 있는 시간과 돈은?",https://honsamnote.co.kr/blog/2026-07-30-cleaning-32/,cleaning,청소·세탁·집안일,1인 가구; 직장인; 살림; 청소; 자동화 가전; 로봇청소기; 의류건조기; 식기세척기,1인 가구 청소; 집안일 자동화; 시간 절약 가전; 직장인 살림; 로봇청소기 추천; 건조기 추천; 식기세척기 추천,"퇴근 후 녹초가 된 1인 가구 직장인, 집안일 자동화 가전으로 얻을 수 있는 시간과 돈은? | 혼삶노트","혼자 사는 직장인이 집안일 자동화 가전 도입을 고민할 때, 시간과 돈을 절약할 수 있는 현실적인 기준과 선택 가이드를 제시합니다. 현명한 소비로 삶의 질을 높이세요.",질문형,1인 가구 청소,집안일 자동화; 시간 절약 가전; 직장인 살림; 로봇청소기 추천; 건조기 추천; 식기세척기 추천,낮음,세탁·옷관리,예,예,아니오,2026-08-01-cleaning-auto-b67a07; 2026-08-07-cost-auto-24b43b; 2026-07-31-cleaning-79; 2026-08-01-cleaning-auto-070bfd; 2026-08-01-cleaning-auto-2b8bbd; 2026-08-03-cleaning-auto-d96324,아니오,유지,1인 가구 청소 알아보기,"결론부터 말씀드리자면, 집안일 자동화 가전은 의 시간과 노력을 크게 절약해 줄 수 있는 매우 효과적인 투자입니다.",87,아니오,,,,
2026-07-30-cost-6,"내 돈 새는 줄도 몰랐죠? 1인 가구 직장인, 숨은 보험료 줄이는 3단계 점검법",https://honsamnote.co.kr/blog/2026-07-30-cost-6/,cost,생활비 최적화,1인 가구; 생활비 절약; 보험 점검; 직장인 재테크; 보험료 줄이기,1인 가구 보험; 보험료 아끼는 법; 혼자 살 때 보험; 보험 리모델링; 생활비 최적화,"내 돈 새는 줄도 몰랐죠? 1인 가구 직장인, 숨은 보험료 줄이는 3단계 점검법 | 혼삶노트","혼자 사는 직장인이라면 꼭 보세요. 불필요한 보험료 지출을 줄이고, 나에게 딱 맞는 최소한의 보장을 유지하는 현실적인 보험 점검 가이드를 알려드립니다.",질문형,1인 가구 보험,보험료 아끼는 법; 혼자 살 때 보험; 보험 리모델링; 생활비 최적화,낮음,생활비 절약 전반,예,예,아니오,2026-08-01-cost-auto-8e14b1; 2026-08-01-cost-auto-eacedc; 2026-08-06-cost-auto-e8c32b; 2026-08-08-cost-auto-65e819; 2026-08-01-cost-auto-f9f9ca; 2026-08-05-cost-auto-9715f2,아니오,유지,1인 가구 보험 알아보기,"솔직히 말씀드리면, 현재 불필요한 보험료를 내고 있을 가능성이 매우 높습니다.",87,아니오,,,,
2026-07-30-lifestyle-59,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",https://honsamnote.co.kr/blog/2026-07-30-lifestyle-59/,lifestyle,관계·고립·생활 리듬,1인 가구; 직장인; 무기력; 생활 리듬; 고립감; 번아웃; 혼자 살기,1인 가구 무기력; 퇴근 후 무기력; 주말 무기력; 생활 루틴; 혼자 살 때 외로움; 에너지 회복,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법 | 혼삶노트","혼자 사는 삶, 퇴근 후나 주말에 찾아오는 무기력증 때문에 고민인가요? 이 글에서는 1인 가구 직장인이 혼자 있을 때 무기력해지는 진짜 이유를 분석하고, 시간과 돈을 들이지 않고도 생활 에너지를 회복할 수 있는 현실적인 3단계 해결책을 제시합니다.",질문형,1인 가구 무기력,퇴근 후 무기력; 주말 무기력; 생활 루틴; 혼자 살 때 외로움; 에너지 회복,낮음,외로움·고립감,예,예,예,2026-08-03-lifestyle-auto-06c5e8; 2026-08-11-lifestyle-auto-0f05f0; 2026-07-30-lifestyle-61; 2026-08-01-lifestyle-auto-b13421; 2026-08-03-lifestyle-auto-dfa23e; 2026-08-05-lifestyle-auto-420299,아니오,유지,1인 가구 무기력 알아보기,혼자 있을 때 찾아오는 무기력감은 당신의 의지가 부족하거나 게을러서 생기는 문제가 아닙니다.,87,아니오,,,,
2026-07-30-lifestyle-63,"혼자 사는 직장인, 안부 연락 부담 줄이고 부모님 걱정 덜어드리는 스마트 안부 시스템 만들기",https://honsamnote.co.kr/blog/2026-07-30-lifestyle-63/,lifestyle,관계·고립·생활 리듬,1인 가구; 직장인; 가족 관계; 생활 최적화; 고립 방지; 스마트 생활,안부 연락; 부모님 안부; 1인 가구 외로움; 가족 소통; 자동 안부 시스템; 효율적 관계,"혼자 사는 직장인, 안부 연락 부담 줄이고 부모님 걱정 덜어드리는 스마트 안부 시스템 만들기 | 혼삶노트",혼자 사는 직장인을 위한 현실적인 안부 시스템 구축 가이드. 연락 부담은 줄이고 부모님 걱정은 덜어드리는 스마트한 방법을 소개합니다. 시간과 돈을 아껴 효율적인 관계를 유지하세요.,문제해결형,안부 연락,부모님 안부; 1인 가구 외로움; 가족 소통; 자동 안부 시스템; 효율적 관계,낮음,외로움·고립감,예,예,아니오,2026-07-30-lifestyle-61; 2026-08-01-lifestyle-auto-b13421; 2026-07-30-lifestyle-59; 2026-08-01-lifestyle-auto-ac59b7; 2026-08-03-lifestyle-auto-06c5e8; 2026-08-07-lifestyle-auto-0b115c,아니오,유지,안부 연락 해결 방법｜관계·고립·생활 리듬,의 시간과 에너지를 아끼면서도 가족과의 연결성을 잃지 않는 가장 좋은 방법은 **'꾸준함'과 '최소한의 노력'을 기반으로 하는 나만의 안부 시스템을 구축하는 것**입니다.,87,아니오,,,,
2026-07-30-products-50,"혼자 사는 직장인, 빨래방 갈 시간 없을 때! 소형 세탁기, '이 기준'으로 후회 없이 고르세요",https://honsamnote.co.kr/blog/2026-07-30-products-50/,products,1인 가구 제품·서비스,1인가구; 소형세탁기; 미니세탁기; 빨래; 가전제품,1인 가구 세탁기; 원룸 세탁기; 직장인 빨래; 소량 빨래; 세탁기 추천,"혼자 사는 직장인, 빨래방 갈 시간 없을 때! 소형 세탁기, '이 기준'으로 후회 없이 고르세요 | 혼삶노트","바쁜 1인 직장인을 위한 소형 세탁기 선택 가이드. 빨래 습관, 공간, 예산을 고려해 당신에게 딱 맞는 세탁기를 고르는 현실적인 기준을 제시합니다.",판단형,1인 가구 세탁기,원룸 세탁기; 직장인 빨래; 소량 빨래; 세탁기 추천,낮음,1인 가구 제품·서비스 기타,예,예,아니오,2026-08-07-products-auto-e9e85e; 2026-07-31-products-75; 2026-08-06-products-auto-9bb85c; 2026-08-06-products-auto-aad52f; 2026-08-08-products-auto-06056d; 2026-08-09-products-auto-7bf3a6,아니오,유지,1인 가구 세탁기 기준,"혼자 사는 직장인에게 소형 세탁기는 분명 유용한 선택지가 될 수 있지만, 무조건적인 해답은 아닙니다.",87,아니오,,,,
2026-07-30-products-51,"꿉꿉한 빨래, 좁은 방에 널지 마세요! 1인 가구 직장인을 위한 미니 건조기, 실패 없이 선택하는 법",https://honsamnote.co.kr/blog/2026-07-30-products-51/,products,1인 가구 제품·서비스,1인 가구; 미니 건조기; 생활 최적화; 빨래 팁; 살림 노하우; 제품 선택,1인 가구 미니 건조기; 원룸 건조기 추천; 미니 건조기 고르는 법; 1인 가구 빨래; 건조기 장단점,"꿉꿉한 빨래, 좁은 방에 널지 마세요! 1인 가구 직장인을 위한 미니 건조기, 실패 없이 선택하는 법 | 혼삶노트","빨래 스트레스에 지친 1인 가구 직장인이라면 주목! 좁은 공간에서 건조기 없이 사는 고충과 미니 건조기가 필요한지, 어떤 제품을 골라야 할지 7단계로 명쾌하게 알려드립니다. 당신의 시간과 공간을 되찾아 줄 현명한 선택 가이드.",방법형,1인 가구 미니 건조기,원룸 건조기 추천; 미니 건조기 고르는 법; 1인 가구 빨래; 건조기 장단점,낮음,1인 가구 제품·서비스 기타,예,예,예,2026-08-01-products-auto-ff2c16; 2026-08-07-products-auto-75313c; 2026-07-30-products-55; 2026-07-30-products-57; 2026-07-31-products-75; 2026-08-03-products-auto-55fd7c,아니오,유지,1인 가구 미니 건조기 방법,결론부터 말씀드립니다.,87,아니오,,,,
2026-07-30-products-53,퇴근 후 음식물 쓰레기 냄새? 1인 가구에 딱 맞는 음식물처리기 현명하게 고르는 법,https://honsamnote.co.kr/blog/2026-07-30-products-53/,products,1인 가구 제품·서비스,1인 가구; 음식물처리기; 생활 팁; 주방 위생; 스마트 가전,음식물 쓰레기 처리; 음식물처리기 종류; 1인 가구 살림; 주방 가전 선택; 효율적인 주방,퇴근 후 음식물 쓰레기 냄새? 1인 가구에 딱 맞는 음식물처리기 현명하게 고르는 법 | 혼삶노트,"혼자 사는 당신의 골칫거리, 음식물 쓰레기. 악취와 번거로움 없이 깔끔하게 처리할 1인 가구 맞춤 음식물처리기 선택 기준과 현명한 구매 방법을 알려드립니다.",질문형,음식물 쓰레기 처리,음식물처리기 종류; 1인 가구 살림; 주방 가전 선택; 효율적인 주방,낮음,1인 가구 제품·서비스 기타,예,예,예,2026-08-07-products-auto-5c0731; 2026-07-31-products-76; 2026-08-07-products-auto-074e7a; 2026-07-30-food-16; 2026-07-30-products-51; 2026-07-30-products-55,아니오,유지,음식물 쓰레기 처리 알아보기,"음식물처리기는 '무조건 좋다/나쁘다'가 아니라, 당신의 주거 환경과 생활 패턴에 따라 필요한지가 결정되는 제품입니다.",87,아니오,,,,
2026-07-30-products-55,"냉동실 자리 부족한 1인 가구 직장인, 식비 절약 소형 냉동고 꼭 사야 할까요?",https://honsamnote.co.kr/blog/2026-07-30-products-55/,products,1인 가구 제품·서비스,1인 가구; 소형 냉동고; 식비 절약; 자취템; 살림 노하우,1인 가구 냉동고; 소형 냉동고 추천; 미니 냉동고; 냉동실 부족 해결; 자취 냉동고,"냉동실 자리 부족한 1인 가구 직장인, 식비 절약 소형 냉동고 꼭 사야 할까요? | 혼삶노트","1인 가구 직장인의 고질적인 냉동실 부족 문제 해결, 소형 냉동고 구매 전 필수 체크리스트와 현명한 선택 기준 제시로 시간과 돈을 최적화하세요.",질문형,1인 가구 냉동고,소형 냉동고 추천; 미니 냉동고; 냉동실 부족 해결; 자취 냉동고,낮음,1인 가구 제품·서비스 기타,예,예,예,2026-07-30-products-51; 2026-08-01-products-auto-9e3228; 2026-08-01-products-auto-ff2c16; 2026-08-07-products-auto-75313c; 2026-07-30-products-53; 2026-07-30-products-56,아니오,유지,1인 가구 냉동고 알아보기,"결론부터 말씀드리자면, 1인 가구에게 소형 냉동고는 ‘무조건 필요하다’기보다",87,아니오,,,,
