main_post,duplicate_post,tier,similarity,same_pillar,reason,differentiator,recommended_role_split
2026-07-30-cleaning-28,2026-07-31-cleaning-74,HIGH,0.56,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁기 냄새, 빨래 쉰 냄새",검색의도 다름: 2026-07-30-cleaning-28=문제해결형 / 2026-07-31-cleaning-74=질문형,"2026-07-30-cleaning-28=주요 관점 유지, 2026-07-31-cleaning-74=세탁기 청소 중심으로 검색의도 분리 검토"
2026-07-30-cleaning-28,2026-08-04-cleaning-auto-123d17,HIGH,0.55,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁 팁, 1인 가구 살림",검색의도 다름: 2026-07-30-cleaning-28=문제해결형 / 2026-08-04-cleaning-auto-123d17=질문형,"2026-07-30-cleaning-28=주요 관점 유지, 2026-08-04-cleaning-auto-123d17=옷 줄었을 때 중심으로 검색의도 분리 검토"
2026-07-30-cleaning-67,2026-08-07-cleaning-auto-c3121d,HIGH,0.67,아니오,"같은 세부 클러스터(odor-removal) / 공통 표현: 냉장고 청소법, 1인 가구 냉장고, 냉장고 청소, 살림 팁",검색의도 다름: 2026-07-30-cleaning-67=방법형 / 2026-08-07-cleaning-auto-c3121d=문제해결형,"2026-07-30-cleaning-67=주요 관점 유지, 2026-08-07-cleaning-auto-c3121d=냉장고 정리 팁 중심으로 검색의도 분리 검토"
2026-08-06-cleaning-auto-f4b529,2026-08-01-cleaning-auto-070bfd,HIGH,0.57,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 1인 가구 빨래, 빨래",검색의도 다름: 2026-08-06-cleaning-auto-f4b529=질문형 / 2026-08-01-cleaning-auto-070bfd=비교형,"2026-08-06-cleaning-auto-f4b529=주요 관점 유지, 2026-08-01-cleaning-auto-070bfd=원룸 빨래 건조 중심으로 검색의도 분리 검토"
2026-08-01-cleaning-auto-070bfd,2026-08-10-cleaning-auto-aeb4a0,HIGH,0.55,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 1인 가구 빨래, 빨래","2026-08-01-cleaning-auto-070bfd 고유 키워드: 원룸 빨래 건조, 미니 건조기 추천, 빨래 쉰내 / 2026-08-10-cleaning-auto-aeb4a0 고유 키워드: 좁은 집 빨래, 소형 건조기, 스마트 건조대","2026-08-01-cleaning-auto-070bfd=주요 관점 유지, 2026-08-10-cleaning-auto-aeb4a0=좁은 집 빨래 중심으로 검색의도 분리 검토"
2026-08-01-cleaning-auto-2b8bbd,2026-08-10-cleaning-auto-6e0644,HIGH,0.57,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 얼룩 제거, 세탁 꿀팁","2026-08-01-cleaning-auto-2b8bbd 고유 키워드: 옷 얼룩 제거, 커피 얼룩, 기름 얼룩 / 2026-08-10-cleaning-auto-6e0644 고유 키워드: 옷 얼룩, 얼룩 지우기, 얼룩 제거법","2026-08-01-cleaning-auto-2b8bbd=주요 관점 유지, 2026-08-10-cleaning-auto-6e0644=옷 얼룩 중심으로 검색의도 분리 검토"
2026-08-01-cleaning-auto-48265b,2026-08-06-cleaning-auto-e80db8,HIGH,0.67,아니오,"같은 세부 클러스터(odor-removal) / 공통 표현: 1인 가구 음식물 쓰레기, 음식물 쓰레기 냄새, 음식물쓰레기",검색의도 다름: 2026-08-01-cleaning-auto-48265b=방법형 / 2026-08-06-cleaning-auto-e80db8=비교형,"2026-08-01-cleaning-auto-48265b=주요 관점 유지, 2026-08-06-cleaning-auto-e80db8=음식물쓰레기 중심으로 검색의도 분리 검토"
2026-08-06-cleaning-auto-ab8bbf,2026-08-14-cleaning-auto-0fc7dd,HIGH,0.73,아니오,"같은 세부 클러스터(appliance-cleaning) / 공통 표현: 에어컨 필터 청소, 에어컨 냄새, 에어컨 청소, 전기세 절약",검색의도 다름: 2026-08-06-cleaning-auto-ab8bbf=비교형 / 2026-08-14-cleaning-auto-0fc7dd=질문형,"2026-08-06-cleaning-auto-ab8bbf=주요 관점 유지, 2026-08-14-cleaning-auto-0fc7dd=냉방 효율 중심으로 검색의도 분리 검토"
2026-08-06-cleaning-auto-f4b529,2026-08-10-cleaning-auto-aeb4a0,HIGH,0.59,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 1인 가구 빨래, 빨래",검색의도 다름: 2026-08-06-cleaning-auto-f4b529=질문형 / 2026-08-10-cleaning-auto-aeb4a0=비교형,"2026-08-06-cleaning-auto-f4b529=주요 관점 유지, 2026-08-10-cleaning-auto-aeb4a0=좁은 집 빨래 중심으로 검색의도 분리 검토"
2026-08-11-cleaning-auto-1ad691,2026-08-11-cleaning-auto-983cbd,HIGH,0.69,아니오,"같은 세부 클러스터(bathroom-cleaning) / 공통 표현: 샤워기 헤드 청소, 샤워기청소, 욕실청소, 물때제거","2026-08-11-cleaning-auto-1ad691 고유 키워드: 샤워기 물때, 샤워기 세균, 피부 가려움 / 2026-08-11-cleaning-auto-983cbd 고유 키워드: 샤워기 물줄기 약함, 샤워기 냄새, 구연산 청소","2026-08-11-cleaning-auto-1ad691=주요 관점 유지, 2026-08-11-cleaning-auto-983cbd=샤워기 물줄기 약함 중심으로 검색의도 분리 검토"
