post_id,url,title,primary_keyword,search_intent,mismatch_type,kw_in_opening,intent_in_opening,emotional_intro,opening_snippet,recommended_action
2026-07-27-welcome,https://honsamnote.co.kr/blog/2026-07-27-welcome/,혼자 사는 삶을 더 쉽게 만드는 법 — 1인 가구 생활백서를 시작하며,1인 가구 생활,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,no,이 블로그가 다루는 문제 혼자 산다는 건 생각보다 손이 많이 가는 일입니다. 집안일을 미루면 그대로 쌓이고， 식재료를 넉넉히 사면 절반은 버리게 되고， 고정비는 매달 조금씩 새어 나갑니다. 아플 때 대신 챙겨줄 사람이 없고， 좁은 공간은 정리해도 금방 다시 어질러집니다,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-29-cost-1,https://honsamnote.co.kr/blog/2026-07-29-cost-1/,"월급날 한숨만? 1인 가구 직장인의 한 달 고정비, 이대로 따라 하면 무조건 줄어듭니다",1인 가구 고정비,비용형,KEYWORD_ABSENT_FROM_OPENING,no,no,no,문제 상황 월급날， 잠깐의 행복도 잠시. 통장에 찍힌 월급은 채 일주일도 지나지 않아 각종 자동이체와 구독료로 빠져나가고， 내 손에 남는 현금은 늘 쪼들립니다. 매달 나가는 주거비， 통신비， 보험료， 구독료… 어쩌면 이렇게 줄어들 생각을 안 하는지 한숨만 나옵니다. 분,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-29-food-9,https://honsamnote.co.kr/blog/2026-07-29-food-9/,1인 가구 식단 방법｜일주일 식단 짜기,1인 가구 식단,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 퇴근 후 현관문을 열고 들어서는 순간， 냉장고 문을 열어 무엇을 먹을까 고민하는 시간은 이미 하루의 마지막 에너지를 갉아먹습니다. 어제 사둔 싱싱한 채소는 벌써 시들어가고， 마트에서 충동적으로 구매한 식재료들은 냉장고 한구석에서 방치되다 결국 버려지기 일쑤입,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cleaning-25,https://honsamnote.co.kr/blog/2026-07-30-cleaning-25/,1인 가구 청소 루틴 해결 방법｜퇴근 후 청소,1인 가구 청소 루틴,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,"문제 상황 퇴근 후 지친 몸을 이끌고 현관문을 열었을 때， 널브러진 옷가지와 어쩐지 끈적이는 주방 바닥， 그리고 언제 닦았는지 기억조차 나지 않는 욕실 세면대를 마주하면 한숨부터 나오시죠? ""청소는 주말에 몰아서 해야지"" 하고 미루다 보면， 소중한 주말마저 청소에 반납",CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cleaning-26,https://honsamnote.co.kr/blog/2026-07-30-cleaning-26/,1인 가구 화장실 청소 방법｜곰팡이 제거 방법,1인 가구 화장실 청소,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 지친 몸을 이끌고 퇴근한 저녁， 따뜻한 물로 샤워하며 하루의 피로를 풀고 싶으셨죠? 그런데 욕실 문을 여는 순간， 코끝을 스치는 퀴퀴한 냄새와 함께 눈에 들어오는 검은 얼룩들. 샤워기 헤드 뒤편， 타일 틈새， 세면대 실리콘 곳곳에 거뭇하게 피어난 곰팡이를 보,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cleaning-27,https://honsamnote.co.kr/blog/2026-07-30-cleaning-27/,배수구 청소 알아보기｜샤워실 냄새,배수구 청소,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,"문제 상황 퇴근 후 지친 몸을 이끌고 들어선 집， 왠지 모르게 코를 찌르는 퀴퀴한 냄새가 신경을 거슬립니다. 분명 어제 대충 물청소도 했는데 말이죠. 특히 샤워실 배수구 쪽에서 올라오는 듯한 악취는 집안의 쾌적함을 순식간에 망치고， 씻을 때마다 불쾌감을 안겨줍니다. """,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cleaning-28,https://honsamnote.co.kr/blog/2026-07-30-cleaning-28/,빨래 쉰 냄새 제거 해결 방법｜세탁기 냄새,빨래 쉰 냄새 제거,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸을 이끌고 겨우 세탁기를 돌렸습니다. 내일 입고 나갈 옷이 없어서 급하게 세탁한 옷을 다음 날 바로 입으려는데， 옷에서 꿉꿉하고 시큼한 쉰 냄새가 확 올라옵니다. 다시 빨자니 시간도 아깝고， 그렇다고 그냥 입을 수도 없고… 왜 매번 이런 냄새,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cleaning-29,https://honsamnote.co.kr/blog/2026-07-30-cleaning-29/,1인 가구 침구 세탁 주기 알아보기｜침구 관리법,1인 가구 침구 세탁 주기,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,"문제 상황 퇴근 후 지친 몸을 이끌고 침대에 누웠을 때， 포근하고 깨끗한 침구만큼 위로가 되는 것도 없습니다. 하지만 ""과연 우리 집 침구는 깨끗할까?""라는 생각이 스쳐 지나갈 때가 있죠. 혼자 살다 보니 집안일에 신경 쓸 시간도， 누가 ""이건 이렇게 해야 해!""라고 ",CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cleaning-30,https://honsamnote.co.kr/blog/2026-07-30-cleaning-30/,원룸먼지 방법｜먼지줄이는방법,원룸먼지,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸을 이끌고 집에 들어섰을 때， 방바닥을 뒹구는 머리카락과 희끗희끗한 먼지 뭉치를 발견하면 한숨부터 나옵니다. 분명 어제 대충이라도 청소한 것 같은데， 하룻밤 사이에 또 쌓인 먼지를 보면 청소 자체가 무의미하게 느껴지기도 하죠. 특히 공간이 좁,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cleaning-31,https://honsamnote.co.kr/blog/2026-07-30-cleaning-31/,혼자 사는 집 청소 해결 방법｜주방 기름때 제거,혼자 사는 집 청소,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 퇴근 후 허기진 배를 붙잡고 간단한 저녁 한 끼를 해 먹습니다. 김치찌개를 끓이고， 계란 프라이를 부치고， 생선 한 토막을 구웠죠. 설거지를 마치고 주방을 한 번 둘러보지만， 깨끗해 보입니다. 하지만 며칠， 몇 주가 지나면서 뭔가 끈적이는 감촉이 손끝에 닿습,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
