post_id,title,url,current_category,proposed_cluster,orphan_reason,content_value,search_intent,recommended_action,incoming_link_candidates,confidence,orphan_type
2026-07-27-welcome,혼자 사는 삶을 더 쉽게 만드는 법 — 1인 가구 생활백서를 시작하며,https://honsamnote.co.kr/blog/2026-07-27-welcome/,,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,문제해결형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,(관련성 있는 후보 없음),MEDIUM,B
2026-07-30-storage-23,"이사 앞둔 1인 가구, 버릴 물건에 발목 잡혔다면? 손해 없이 후회 없이 짐 줄이는 현실 가이드",https://honsamnote.co.kr/blog/2026-07-30-storage-23/,좁은 집과 수납,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,질문형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-08-01-housing-auto-e6f8ea(혼자 사는 직장인, 이사 갈 때 포장·반포장·용달 이사 중 뭘 고를까? 내 상황에 맞는 최적의 선택 가이드); 2026-08-06-cost-auto-515c77(혼자 사는 직장인, 매년 이사 갈 때마다 막막하다면? 직접 vs 전문 이사 서비스, 후회 없는 결정 가이드); 2026-08-06-housing-auto-1a9827(혼자 사는 직장인, 급하게 작은 짐 옮길 때? 카셰어링 탑차 vs 용달 서비스, 내 돈 아끼는 현명한 선택은?)",MEDIUM,B
2026-08-01-food-auto-7f290f,"퇴근 후 요리 시간 아끼는 1인 가구 직장인, 미니 다지기 vs. 칼질: 당신의 손목과 시간을 위한 현명한 선택",https://honsamnote.co.kr/blog/2026-08-01-food-auto-7f290f/,혼밥·식재료 관리,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,비교형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-08-03-food-auto-fb2380(퇴근 후 요리 시간 아끼는 1인 가구, 손질 채소 vs. 통 채소: 당신의 식탁을 위한 현명한 선택); 2026-08-06-food-auto-dea971(혼자 사는 직장인, 신선 채소 한 팩 앞에서 망설일 때: 버리지 않고 끝까지 신선하게 즐기는 현실적인 구매부터 소비 전략); 2026-08-07-food-auto-78eff9(혼밥 후 설거지 산더미에 지칠 때: 손 설거지 vs 미니 식기세척기, 당신의 시간과 노동력을 아껴줄 현명한 선택 가이드)",MEDIUM,B
2026-08-01-housing-auto-1c1518,"혼자 사는 직장인, 이사 갈 때 대형 폐기물 처리? 시간과 돈 아끼는 3가지 선택 비교",https://honsamnote.co.kr/blog/2026-08-01-housing-auto-1c1518/,주거·계약·이사,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,비교형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-08-13-cleaning-auto-545cef(혼자 사는 당신, 자취방에 쌓인 못 쓰는 가구와 가전, 어떻게 버려야 할지 막막하다고? 딱 15분, 골치 아픈 대형 폐기물 스마트하게 처리하는 현실 가이드); 2026-07-30-housing-42(내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법); 2026-07-30-housing-43(첫 관리비 고지서, 뭉뚱그려진 금액에 헷갈리는 1인 가구? 내 돈 지키는 항목별 확인법)",MEDIUM,B
2026-08-01-lifestyle-auto-a6f950,"혼자 사는 직장인, 경조사 챙기기가 막막하다면? 시간과 에너지를 아끼는 스마트 가이드",https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-a6f950/,관계·고립·생활 리듬,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,질문형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-07-30-lifestyle-59(1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법); 2026-07-30-lifestyle-60(주말 무기력 해결 방법｜주말 계획); 2026-07-30-lifestyle-61(혼자 사는 직장인, 퇴근 후 찾아오는 쓸쓸함을 현명하게 다루는 3단계 루틴)",MEDIUM,B
2026-08-01-products-auto-29af64,"혼자 사는 직장인, 잦은 이사에 목돈 부담? 가구 구독/렌탈, 우리 집에 맞는지 따져보는 3가지 기준",https://honsamnote.co.kr/blog/2026-08-01-products-auto-29af64/,1인 가구 제품·서비스,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,판단형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-08-12-cost-auto-b175c0(혼자 사는 직장인, 빈방에 가구 채워 넣으려니 막막하다면? 구매 vs 렌탈, 내게 맞는 최적의 가구 선택 가이드); 2026-08-14-housing-auto-189ec3(혼자 사는 직장인, 이사/대청소 앞둔 대형 폐기물 처리! 비용 아끼고 깔끔하게 끝내는 현실 가이드); 2026-07-30-housing-42(내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법)",MEDIUM,B
2026-08-01-safety-auto-0466e2,"혼자 사는 당신, 집에서 갑자기 쓰러지거나 움직일 수 없을 때? 스마트 응급 호출 시스템, 나에게 정말 필요할까?",https://honsamnote.co.kr/blog/2026-08-01-safety-auto-0466e2/,안전·응급상황,응급상황 대처,클러스터(응급상황 대처)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,질문형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-safety-33(혼자 사는 당신, 갑자기 아플 때 후회하지 않을 '생활 비상 키트' 미리 준비하기); 2026-07-30-safety-34(혼자 사는 내가 갑자기 아플 때, 응급실 가기 전 챙길 물건 최소화 리스트); 2026-07-30-safety-36(혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요)",MEDIUM,C
2026-08-03-food-auto-f85a75,"1인 가구, '이거 왜 샀지?' 냉장고 속 낯선 식재료, 버릴까 말까? 알뜰하게 다 쓰는 활용법",https://honsamnote.co.kr/blog/2026-08-03-food-auto-f85a75/,혼밥·식재료 관리,식재료 낭비 줄이기,클러스터(식재료 낭비 줄이기)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,질문형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-food-12(혼자 사는 당신, 냉장고 속 남은 음식 버릴지 말지 망설일 때, 안전하고 맛있게 활용하는 법); 2026-07-30-food-13(1인 가구, 남은 배달음식 버릴까? 다음 끼니까지 안전하게 보관하는 현실적인 팁); 2026-07-30-food-16(퇴근 후 요리하는 1인 가구, 냄새 없이 음식물 쓰레기 줄이는 현실적인 루틴)",MEDIUM,C
2026-08-04-cleaning-auto-99cb94,"혼자 사는 당신, 퇴근 후 끈적이는 바닥? 손 걸레질 vs 스팀 청소기, 후회 없는 선택 기준",https://honsamnote.co.kr/blog/2026-08-04-cleaning-auto-99cb94/,청소·세탁·집안일,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,비교형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-07-30-cleaning-25(퇴근 후 지친 1인 가구, 10분씩 쪼개서 끝내는 주간 청소 루틴); 2026-07-30-cleaning-26(퇴근 후 마주한 눅눅한 욕실, 1인 가구 화장실 곰팡이, 딱 30분이면 끝내는 완벽 제거 가이드); 2026-07-30-cleaning-27(혼자 사는 당신, 샤워실 배수구 냄새? 퇴근 후 15분 만에 잡는 법)",MEDIUM,B
2026-08-04-lifestyle-auto-dabdf3,"혼자 사는 직장인, 친구나 가족이 잠깐 머물겠다고 할 때, 내 공간 지키며 관계도 유지하는 현명한 대처법",https://honsamnote.co.kr/blog/2026-08-04-lifestyle-auto-dabdf3/,관계·고립·생활 리듬,생활리듬·시간관리,클러스터(생활리듬·시간관리)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,문제해결형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-lifestyle-60(주말 무기력 해결 방법｜주말 계획); 2026-07-30-lifestyle-62(퇴근 후 혼밥이 귀찮은 1인 가구, 매일 끼니 거르지 않고 건강 챙기는 현실적인 식사 루틴); 2026-07-30-lifestyle-64(퇴근 후 무기력함에 지친 1인 가구 직장인, 잠들기 전 2시간으로 내일을 바꾸는 저녁 루틴)",MEDIUM,C
2026-08-05-housing-auto-7ef549,"혼자 사는 직장인, 새집 인터넷·TV 가입! 통신 3사 vs 알뜰 결합 vs 지역 케이블, 내 돈 아끼는 현명한 선택 가이드",https://honsamnote.co.kr/blog/2026-08-05-housing-auto-7ef549/,주거·계약·이사,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,비교형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-07-30-housing-42(내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법); 2026-07-30-housing-43(첫 관리비 고지서, 뭉뚱그려진 금액에 헷갈리는 1인 가구? 내 돈 지키는 항목별 확인법); 2026-07-30-housing-44(혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기)",MEDIUM,B
