source_slug,source_title,target_slug,target_title,relevance_score,relation_type,reason
2026-07-30-cleaning-29,"바쁜 1인 가구, 침구 세탁 주기 헷갈릴 때? 쾌적한 잠자리를 위한 현실 가이드",2026-07-30-cleaning-25,"퇴근 후 지친 1인 가구, 10분씩 쪼개서 끝내는 주간 청소 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-cost-6,"내 돈 새는 줄도 몰랐죠? 1인 가구 직장인, 숨은 보험료 줄이는 3단계 점검법",2026-07-30-cost-2,"혼자 사는 직장인, 예상치 못한 공과금 폭탄 피하는 전기·가스·수도 요금 절약 실전 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-cost-80,알뜰폰 비교｜통신 3사,2026-07-29-cost-1,"월급날 한숨만? 1인 가구 직장인의 한 달 고정비, 이대로 따라 하면 무조건 줄어듭니다",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-cost-80,알뜰폰 비교｜통신 3사,2026-07-30-cost-2,"혼자 사는 직장인, 예상치 못한 공과금 폭탄 피하는 전기·가스·수도 요금 절약 실전 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-food-10,"퇴근 후 요리 스트레스 줄여줄 1인 가구 필수템, 식재료 소분과 냉동 보관 완벽 가이드",2026-07-29-food-9,퇴근 후 지쳐도 괜찮아: 1인 가구 직장인이 냉장고 털어 일주일 식단을 미리 짜는 현실적인 방법,1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-food-10,"퇴근 후 요리 스트레스 줄여줄 1인 가구 필수템, 식재료 소분과 냉동 보관 완벽 가이드",2026-07-30-food-11,"퇴근 후 지친 당신, 냉장고 식재료 썩히지 않고 알뜰하게 다 먹는 보관 기간 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-housing-44,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",2026-07-30-housing-42,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-housing-44,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",2026-07-30-housing-43,"첫 관리비 고지서, 뭉뚱그려진 금액에 헷갈리는 1인 가구? 내 돈 지키는 항목별 확인법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-lifestyle-63,"혼자 사는 직장인, 안부 연락 부담 줄이고 부모님 걱정 덜어드리는 스마트 안부 시스템 만들기",2026-07-30-lifestyle-60,주말 무기력 해결 방법｜주말 계획,1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-lifestyle-63,"혼자 사는 직장인, 안부 연락 부담 줄이고 부모님 걱정 덜어드리는 스마트 안부 시스템 만들기",2026-07-30-lifestyle-62,"퇴근 후 혼밥이 귀찮은 1인 가구, 매일 끼니 거르지 않고 건강 챙기는 현실적인 식사 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",2026-07-30-storage-18,"퇴근 후 좁은 원룸, 넘쳐나는 계절옷을 깔끔하게 정리하고 보관하는 현실적인 팁",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",2026-07-30-storage-19,"1인 가구 직장인, 침대 밑 빈 공간에 짐 넣기 전 반드시 확인해야 할 3가지",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-30-storage-21,"현관 열자마자 꿉꿉한 냄새? 1인 가구 신발장 냄새, 근본부터 해결하는 현실 관리법",2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
