id,post_id,url,title,risk_level,claim,claim_type,current_value,verification_required,verification_status,recommended_action,source_required,source_used,checked_date
1,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",P1,이사 비용 (최소 30만 원~100만 원 이상)， 부동산 중개 수수료 (월세의 경우 월세액의 0.5% 이내， 전세의 경우 전세금의 0.3~0.5% 이내로 법정 요율 확인 필요)， 수도， 전기， 가스 명의 변경 및 최초 청구 비용， 인터넷 설치비， 생필품 구매 비용 등 초기 목돈이 생각보다 많이 듭니다.,가격,30만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
2,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",P1,이사 비용 (최소 30만 원~100만 원 이상)， 부동산 중개 수수료 (월세의 경우 월세액의 0.5% 이내， 전세의 경우 전세금의 0.3~0.5% 이내로 법정 요율 확인 필요)， 수도， 전기， 가스 명의 변경 및 최초 청구 비용， 인터넷 설치비， 생필품 구매 비용 등 초기 목돈이 생각보다 많이 듭니다.,가격,100만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
3,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",P1,보통 선순위 채권(근저당 + 전세보증금)이 매매가의 70%를 넘지 않는 것이 안전하다고 알려져 있습니다.,통계,70%,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
4,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",P1,이사 비용 (최소 30만 원~100만 원 이상)， 부동산 중개 수수료 (월세의 경우 월세액의 0.5% 이내， 전세의 경우 전세금의 0.3~0.5% 이내로 법정 요율 확인 필요)， 수도， 전기， 가스 명의 변경 및 최초 청구 비용， 인터넷 설치비， 생필품 구매 비용 등 초기 목돈이 생각보다 많이 듭니다.,통계,0.5%,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
5,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",P1,이사 비용 (최소 30만 원~100만 원 이상)， 부동산 중개 수수료 (월세의 경우 월세액의 0.5% 이내， 전세의 경우 전세금의 0.3~0.5% 이내로 법정 요율 확인 필요)， 수도， 전기， 가스 명의 변경 및 최초 청구 비용， 인터넷 설치비， 생필품 구매 비용 등 초기 목돈이 생각보다 많이 듭니다.,가격,수수료 (월세의 경우 월세액의 0,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
6,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",P1,소요 시간: 약 10~20분 (매물당).,통계,약 10,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
7,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",P1,소요 시간: 약 30분~1시간 (충분한 검토 필요).,통계,약 30,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
8,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,원인과 판단 기준 전입신고와 확정일자가 왜 중요한지는 대한민국 주택임대차보호법과 직접적으로 연관되어 있습니다.,법률,주택임대차보호법,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
9,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,즉， 전월세 계약을 통해 새로운 집에 입주했다면， 당신의 소중한 보증금을 법적으로 완벽하게 보호받기 위해 전입신고와 확정일자는 선택이 아닌 필수 절차입니다.,법률,보증금을 법적으로 완벽하게 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
10,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,이 스탬프는 접수 번호， 일자， 기관명 등이 포함되어 있으며， 보증금을 보호하는 중요한 증거가 됩니다.,법률,보증금을 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
