pillar_name,cluster_id,primary_keyword,article_count,status,reason,recommended_url,child_posts
원룸 전체 수납,oneroom-storage,원룸 수납,56,A,"하위 글 56개, 평균 매치점수 1.79로 충분히 많고 일관됨",/guide/oneroom-storage/,2026-07-30-storage-18; 2026-07-30-storage-19; 2026-07-30-storage-21; 2026-07-30-storage-24; 2026-08-01-storage-auto-316ab0; 2026-08-01-storage-auto-387eaf; 2026-08-01-storage-auto-39ae63; 2026-08-01-storage-auto-499287; 2026-08-01-storage-auto-4eec70; 2026-08-01-storage-auto-662a7f; 2026-08-01-storage-auto-c54f86; 2026-08-01-storage-auto-f1fb81; 2026-08-03-storage-auto-45d4eb; 2026-08-04-storage-auto-06061f; 2026-08-04-storage-auto-225475; 2026-08-04-storage-auto-28ed9d; 2026-08-05-storage-auto-c8c36f; 2026-08-05-storage-auto-d93cd5; 2026-08-06-storage-auto-11ba62; 2026-08-06-storage-auto-19a86d; 2026-08-06-storage-auto-239c0d; 2026-08-06-storage-auto-53c51c; 2026-08-06-storage-auto-5477a3; 2026-08-06-storage-auto-772373; 2026-08-06-storage-auto-b1740f; 2026-08-06-storage-auto-bb011a; 2026-08-06-storage-auto-c14a3a; 2026-08-06-storage-auto-c25261; 2026-08-06-storage-auto-d7c10d; 2026-08-06-storage-auto-ddb1d8; 2026-08-06-storage-auto-ee77b8; 2026-08-07-storage-auto-18dbcb; 2026-08-07-storage-auto-3c236f; 2026-08-07-storage-auto-4a268b; 2026-08-07-storage-auto-54d5cd; 2026-08-07-storage-auto-6dca4b; 2026-08-07-storage-auto-b02bd8; 2026-08-07-storage-auto-c71b14; 2026-08-07-storage-auto-ee20dc; 2026-08-07-storage-auto-fcc47d; 2026-08-07-storage-auto-ffedfc; 2026-08-08-storage-auto-12975c; 2026-08-08-storage-auto-15969c; 2026-08-08-storage-auto-24e806; 2026-08-08-storage-auto-276b92; 2026-08-08-storage-auto-fda98a; 2026-08-09-storage-auto-b54398; 2026-08-10-storage-auto-046a46; 2026-08-11-storage-auto-80b064; 2026-08-11-storage-auto-9064d7; 2026-08-12-storage-auto-0db620; 2026-08-12-storage-auto-ec0e5a; 2026-08-13-storage-auto-545d8d; 2026-08-13-storage-auto-92e3bb; 2026-08-13-storage-auto-ccc061; 2026-08-14-storage-auto-be0ab4
생활비 절약 전반,general-living-cost,생활비 절약,53,C,"클러스터 이름/정의 keyword가 카테고리 전체와 거의 동일한 ""전반"" 성격 — 검색의도가 너무 넓음(평균 매치점수 1.43)",(해당 없음),2026-07-29-cost-1; 2026-07-30-cost-6; 2026-08-01-cost-auto-0d71f8; 2026-08-01-cost-auto-44803f; 2026-08-01-cost-auto-4a41b3; 2026-08-01-cost-auto-8e14b1; 2026-08-01-cost-auto-9c7467; 2026-08-01-cost-auto-aa6f9d; 2026-08-01-cost-auto-e9d2d3; 2026-08-01-cost-auto-eacedc; 2026-08-01-cost-auto-f9f9ca; 2026-08-03-cost-auto-4d199c; 2026-08-03-cost-auto-749379; 2026-08-03-cost-auto-d01191; 2026-08-04-cost-auto-959521; 2026-08-04-cost-auto-dac7b3; 2026-08-05-cost-auto-9715f2; 2026-08-05-cost-auto-e4ec33; 2026-08-06-cost-auto-177634; 2026-08-06-cost-auto-3826dd; 2026-08-06-cost-auto-515c77; 2026-08-06-cost-auto-9d0ea4; 2026-08-06-cost-auto-b32a96; 2026-08-06-cost-auto-bf984a; 2026-08-06-cost-auto-c59747; 2026-08-06-cost-auto-cfda8d; 2026-08-06-cost-auto-e2088d; 2026-08-06-cost-auto-e8c32b; 2026-08-06-cost-auto-f652a0; 2026-08-07-cost-auto-0c25d9; 2026-08-07-cost-auto-24b43b; 2026-08-07-cost-auto-7256ba; 2026-08-07-cost-auto-811cef; 2026-08-07-cost-auto-846842; 2026-08-07-cost-auto-b1ff82; 2026-08-07-cost-auto-d674a8; 2026-08-07-cost-auto-efcd2f; 2026-08-08-cost-auto-65e819; 2026-08-08-cost-auto-770f4a; 2026-08-08-cost-auto-bbb3d7; 2026-08-08-cost-auto-c1b0b5; 2026-08-09-cost-auto-80b3c9; 2026-08-10-cost-auto-2c9756; 2026-08-10-cost-auto-78f79c; 2026-08-10-cost-auto-88aeb7; 2026-08-11-cost-auto-bf7238; 2026-08-11-cost-auto-ff0274; 2026-08-12-cost-auto-b175c0; 2026-08-12-cost-auto-b36efb; 2026-08-13-cost-auto-590148; 2026-08-13-cost-auto-b1e536; 2026-08-14-cost-auto-304499; 2026-08-14-cost-auto-c66395
응급상황 대처,emergency-response,비상 대처,42,B,하위 글 수는 충분하나 평균 매치점수(1.24)가 A등급 기준(1.3)에 못 미침,(해당 없음),2026-07-30-safety-33; 2026-07-30-safety-34; 2026-07-30-safety-36; 2026-07-30-safety-41; 2026-07-31-safety-72; 2026-07-31-safety-73; 2026-08-01-safety-auto-0466e2; 2026-08-01-safety-auto-0e6262; 2026-08-01-safety-auto-1a5c71; 2026-08-01-safety-auto-835af8; 2026-08-01-safety-auto-a71046; 2026-08-03-safety-auto-75476d; 2026-08-04-safety-auto-61ce38; 2026-08-04-safety-auto-ceca45; 2026-08-06-safety-auto-063890; 2026-08-06-safety-auto-0b96ff; 2026-08-06-safety-auto-425601; 2026-08-06-safety-auto-5817e5; 2026-08-06-safety-auto-8dc9e3; 2026-08-06-safety-auto-97b7d5; 2026-08-06-safety-auto-9df39e; 2026-08-06-safety-auto-b04dc4; 2026-08-06-safety-auto-b35351; 2026-08-06-safety-auto-d2f981; 2026-08-06-safety-auto-ec7c17; 2026-08-07-safety-auto-0d1c1b; 2026-08-07-safety-auto-22735c; 2026-08-07-safety-auto-580f1f; 2026-08-07-safety-auto-86e30d; 2026-08-07-safety-auto-e50d7a; 2026-08-08-safety-auto-2186aa; 2026-08-08-safety-auto-71a5f3; 2026-08-08-safety-auto-985515; 2026-08-08-safety-auto-fcd8d6; 2026-08-11-safety-auto-197473; 2026-08-11-safety-auto-3045ad; 2026-08-12-safety-auto-020b2f; 2026-08-12-safety-auto-15ca61; 2026-08-12-safety-auto-52e6c7; 2026-08-13-safety-auto-6b585a; 2026-08-13-safety-auto-c86e8c; 2026-08-13-safety-auto-dcd18d
식재료 낭비 줄이기,food-waste,식재료 낭비,27,C,평균 매치점수(1.19)가 낮아 클러스터 정의와 실제 글 내용의 연관성이 약함,(해당 없음),2026-07-30-food-12; 2026-07-30-food-13; 2026-07-30-food-16; 2026-08-01-food-auto-0ac183; 2026-08-01-food-auto-174113; 2026-08-01-food-auto-6b8a79; 2026-08-01-food-auto-8c9a71; 2026-08-03-food-auto-f85a75; 2026-08-06-food-auto-19b20f; 2026-08-06-food-auto-36b7bb; 2026-08-06-food-auto-75ad3e; 2026-08-06-food-auto-9e2cfe; 2026-08-06-food-auto-dea971; 2026-08-07-food-auto-0e8387; 2026-08-07-food-auto-13d75f; 2026-08-07-food-auto-44e578; 2026-08-07-food-auto-bb56bf; 2026-08-07-food-auto-f5cf37; 2026-08-08-food-auto-2c836a; 2026-08-08-food-auto-6f0a23; 2026-08-08-food-auto-9b0e80; 2026-08-09-food-auto-937ea1; 2026-08-09-food-auto-bd7a7d; 2026-08-12-food-auto-6ed755; 2026-08-12-food-auto-7b4cd9; 2026-08-13-food-auto-05f1fc; 2026-08-14-food-auto-0030b0
세탁·옷관리,laundry-clothing,세탁,23,A,"하위 글 23개, 평균 매치점수 1.78로 충분히 많고 일관됨",/guide/laundry-clothing/,2026-07-30-cleaning-28; 2026-07-30-cleaning-32; 2026-07-31-cleaning-74; 2026-08-01-cleaning-auto-070bfd; 2026-08-01-cleaning-auto-2b8bbd; 2026-08-01-cleaning-auto-b67a07; 2026-08-04-cleaning-auto-123d17; 2026-08-06-cleaning-auto-07ebe3; 2026-08-06-cleaning-auto-17f2ed; 2026-08-06-cleaning-auto-530ba0; 2026-08-06-cleaning-auto-eb5789; 2026-08-06-cleaning-auto-f4b529; 2026-08-06-cleaning-auto-ff8d39; 2026-08-07-cleaning-auto-1c4212; 2026-08-07-cleaning-auto-5100a8; 2026-08-07-cleaning-auto-e52e72; 2026-08-07-cleaning-auto-ef484e; 2026-08-08-cleaning-auto-3b9de2; 2026-08-08-cleaning-auto-e0020a; 2026-08-08-cleaning-auto-e6a45e; 2026-08-10-cleaning-auto-6e0644; 2026-08-10-cleaning-auto-aeb4a0; 2026-08-11-cleaning-auto-5be420
외로움·고립감,loneliness-isolation,외로움,19,A,"하위 글 19개, 평균 매치점수 1.58로 충분히 많고 일관됨",/guide/loneliness-isolation/,2026-07-30-lifestyle-59; 2026-07-30-lifestyle-61; 2026-07-30-lifestyle-63; 2026-08-01-lifestyle-auto-29922b; 2026-08-01-lifestyle-auto-ac59b7; 2026-08-01-lifestyle-auto-b13421; 2026-08-01-lifestyle-auto-f56796; 2026-08-03-lifestyle-auto-06c5e8; 2026-08-03-lifestyle-auto-dfa23e; 2026-08-05-lifestyle-auto-420299; 2026-08-06-lifestyle-auto-91c019; 2026-08-06-lifestyle-auto-bf4537; 2026-08-07-lifestyle-auto-0b115c; 2026-08-07-lifestyle-auto-6d2617; 2026-08-08-lifestyle-auto-4e7860; 2026-08-08-lifestyle-auto-83e6d5; 2026-08-08-lifestyle-auto-9fe492; 2026-08-11-lifestyle-auto-0f05f0; 2026-08-14-lifestyle-auto-e506f6
욕실 청소,bathroom-cleaning,욕실,14,B,평균 매치점수(1.21)는 양호하나 하위 글 수(14)가 아직 적어 대표 콘텐츠가 얇을 위험,(해당 없음),2026-07-30-cleaning-26; 2026-07-30-cleaning-27; 2026-07-30-cleaning-29; 2026-07-31-cleaning-68; 2026-08-01-cleaning-auto-dd0fd9; 2026-08-01-cleaning-auto-e1e505; 2026-08-06-cleaning-auto-ba24cc; 2026-08-07-cleaning-auto-d3c72b; 2026-08-07-cleaning-auto-f46339; 2026-08-08-cleaning-auto-a4c61f; 2026-08-09-cleaning-auto-117267; 2026-08-11-cleaning-auto-1ad691; 2026-08-11-cleaning-auto-983cbd; 2026-08-13-cleaning-auto-cf3699
보증금,deposit,보증금,13,B,평균 매치점수(1.38)는 양호하나 하위 글 수(13)가 아직 적어 대표 콘텐츠가 얇을 위험,(해당 없음),2026-07-30-housing-44; 2026-08-01-housing-auto-18e480; 2026-08-01-housing-auto-c039f6; 2026-08-03-housing-auto-5b4f05; 2026-08-03-housing-auto-e4e5c4; 2026-08-06-housing-auto-1870eb; 2026-08-06-housing-auto-36b1cd; 2026-08-06-housing-auto-849c13; 2026-08-07-housing-auto-baa8f0; 2026-08-08-housing-auto-4e32dc; 2026-08-08-housing-auto-d2c1ed; 2026-08-12-housing-auto-f420ec; 2026-08-13-housing-auto-0fa740
주방 청소,kitchen-cleaning,주방 청소,12,B,평균 매치점수(1.92)는 양호하나 하위 글 수(12)가 아직 적어 대표 콘텐츠가 얇을 위험,(해당 없음),2026-07-30-cleaning-31; 2026-08-03-cleaning-auto-fd154a; 2026-08-06-cleaning-auto-467d7f; 2026-08-06-cleaning-auto-ec8541; 2026-08-07-cleaning-auto-27a7fe; 2026-08-07-cleaning-auto-cb5dfe; 2026-08-08-cleaning-auto-176b73; 2026-08-08-cleaning-auto-4d4ce4; 2026-08-08-cleaning-auto-a279f2; 2026-08-08-cleaning-auto-c188df; 2026-08-10-cleaning-auto-8285cc; 2026-08-12-cleaning-auto-4cf6ca
생활리듬·시간관리,daily-rhythm,생활 리듬,12,C,평균 매치점수(1.17)가 낮아 클러스터 정의와 실제 글 내용의 연관성이 약함,(해당 없음),2026-07-30-lifestyle-60; 2026-07-30-lifestyle-62; 2026-07-30-lifestyle-64; 2026-08-01-lifestyle-auto-19ac88; 2026-08-04-lifestyle-auto-8920c5; 2026-08-04-lifestyle-auto-dabdf3; 2026-08-06-lifestyle-auto-2e08db; 2026-08-07-lifestyle-auto-c39ec1; 2026-08-08-lifestyle-auto-dd0e67; 2026-08-09-lifestyle-auto-12d150; 2026-08-11-lifestyle-auto-90d3e2; 2026-08-13-lifestyle-auto-8d6b5e
