post_id,url,category,matched_patterns,snippet_sample,priority,reason
2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,주거·계약·이사,퍼센트; 법률·행정 용어,+ 전세보증금)이 매매가의 70%를 넘지 않는 것이 안전하다,P1,"주거(housing) 카테고리 + 법령/행정 용어 매치(퍼센트, 법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요"
2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,주거·계약·이사,금액; 법률·행정 용어,* 주민센터 방문: 600원 * 인터넷 등,P1,"주거(housing) 카테고리 + 법령/행정 용어 매치(금액, 법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요"
2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,주거·계약·이사,퍼센트; 법률·행정 용어,고려해 보세요. 약 10~20% 정도 비용 절감 효과를 볼,P1,"주거(housing) 카테고리 + 법령/행정 용어 매치(퍼센트, 법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요"
2026-07-30-housing-46,https://honsamnote.co.kr/blog/2026-07-30-housing-46/,주거·계약·이사,법률·행정 용어,"듯한데, 혹시 가장 큰돈인 보증금은 제대로 돌려받을 수 있을",P1,주거(housing) 카테고리 + 법령/행정 용어 매치(법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요
2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,주거·계약·이사,법률·행정 용어,"나갈 때 퇴실 청소 때문에 보증금에서 돈 떼이면 어쩌지?""",P1,주거(housing) 카테고리 + 법령/행정 용어 매치(법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요
2026-07-30-safety-34,https://honsamnote.co.kr/blog/2026-07-30-safety-34/,안전·응급상황,법률·행정 용어,. 불필요한 구급차 이용은 과태료 대상이 될 수 있습니다.,P1,안전(safety) 카테고리 — 잘못된 정보가 신체/재산 위험으로 직결될 수 있음(고위험 + 최신성 중요)
2026-07-31-housing-71,https://honsamnote.co.kr/blog/2026-07-31-housing-71/,주거·계약·이사,법령 조항; 법률·행정 용어,작됩니다. 일반적으로 민법 제623조(임대인의 의무)에 따라 *,P1,"주거(housing) 카테고리 + 법령/행정 용어 매치(법령 조항, 법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요"
2026-07-31-safety-72,https://honsamnote.co.kr/blog/2026-07-31-safety-72/,안전·응급상황,퍼센트,", 과전력으로 인한 위험의 80% 이상은 예방할 수 있습니다",P1,안전(safety) 카테고리 — 잘못된 정보가 신체/재산 위험으로 직결될 수 있음(고위험 + 최신성 중요)
2026-08-01-housing-auto-18e480,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-18e480/,주거·계약·이사,법률·행정 용어,"실을 막고, 당신의 소중한 보증금과 가재도구, 그리고 혹시",P1,주거(housing) 카테고리 + 법령/행정 용어 매치(법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요
2026-08-01-housing-auto-1c1518,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-1c1518/,주거·계약·이사,금액; 법률·행정 용어,"수수료 (예: 작은 의자 1,000원~3,000원, 침대 1만원",P1,"주거(housing) 카테고리 + 법령/행정 용어 매치(금액, 법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요"
2026-08-01-housing-auto-abec0f,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-abec0f/,주거·계약·이사,퍼센트; 법령 조항; 법률·행정 용어,"""이번에 보증금/월세 15% 올리든지, 아니면 이번 달",P1,"주거(housing) 카테고리 + 법령/행정 용어 매치(퍼센트, 법령 조항, 법률·행정 용어) — 임대차보호법 등은 개정 빈도가 있어 최신성 중요"
