rank,post_id,url,category,cluster,old_title,proposed_title,primary_keyword,search_intent,optimization_score,reason
1,2026-08-04-storage-auto-28ed9d,https://honsamnote.co.kr/blog/2026-08-04-storage-auto-28ed9d/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 주방 냉장고·싱크대 주변 ‘쌓이는 식재료·간식’ 넘쳐난다면? 낭비 없이 효율적으로 수납하는 현실 가이드",1인 가구 식료품 수납 알아보기｜좁은 주방 정리,1인 가구 식료품 수납,질문형,11,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
2,2026-08-06-safety-auto-425601,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-425601/,안전·응급상황,emergency-response,"혼자 사는 당신, 주말 저녁 갑자기 우리 집 물·전기·가스가 끊겼을 때: 당황하지 않고 원인 파악 및 해결하는 현실적인 방법",물 끊김 방법｜전기 끊김,물 끊김,방법형,11,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
3,2026-08-06-safety-auto-9df39e,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-9df39e/,안전·응급상황,emergency-response,"혼자 사는 당신, 집에서 갑자기 심각한 응급 증상이 나타났을 때: 119 신고부터 응급실 도착 전까지 대처법",1인 가구 응급 해결 방법｜혼자 살다 아플 때,1인 가구 응급,문제해결형,11,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
4,2026-08-06-storage-auto-c25261,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-c25261/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 집 서랍 속 '잃어버린 물건' 찾다 시간 다 보낸다면? 칸막이형 vs 낱개 수납 용기, 현명하게 고르는 법",1인 가구 서랍 정리 비교｜서랍 칸막이,1인 가구 서랍 정리,비교형,11,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
5,2026-08-07-safety-auto-86e30d,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-86e30d/,안전·응급상황,emergency-response,"혼자 사는 당신, 갑자기 아프거나 다쳐 집 밖을 나갈 수 없을 때: 끼니부터 약까지, 당황하지 않고 생활을 유지하는 현실적인 대처법",혼자 살 때 아플 때 해결 방법｜아플 때 식사,혼자 살 때 아플 때,문제해결형,11,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
6,2026-08-07-storage-auto-3c236f,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-3c236f/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 주방에 쌓여가는 식료품 더미! 팬트리장 vs. 오픈 선반, 현명하게 고르는 법 비교",1인 가구 주방 비교｜좁은 주방 수납,1인 가구 주방,비교형,11,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
7,2026-08-08-safety-auto-985515,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-985515/,안전·응급상황,emergency-response,"혼자 사는 당신, 우리 집 천장/벽에서 갑자기 물이 뚝뚝 샐 때: 당황하지 않고 원인 파악 및 안전하게 대처하는 현실적인 방법",혼자 사는 집 누수 방법｜아파트 누수,혼자 사는 집 누수,방법형,11,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
8,2026-08-13-storage-auto-92e3bb,https://honsamnote.co.kr/blog/2026-08-13-storage-auto-92e3bb/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 집 싱크대 밑·욕실 수납장 속 '각종 세제·리필팩' 때문에 어지럽다면? 깔끔하게 정리하고 바로 찾아 쓰는 현실 수납법",1인 가구 수납 알아보기｜좁은 집 수납,1인 가구 수납,질문형,11,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
9,2026-08-01-storage-auto-c54f86,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-c54f86/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 방바닥 어지럽히는 가방·모자·벨트! '걸이형 vs 칸막이형' 내게 맞는 액세서리 수납법 비교",1인 가구 액세서리 수납 비교｜원룸 가방 정리,1인 가구 액세서리 수납,비교형,10.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
10,2026-08-04-storage-auto-225475,https://honsamnote.co.kr/blog/2026-08-04-storage-auto-225475/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '식사-업무' 공간이 애매하다면? 다용도 vs 고정형 테이블, 내게 맞는 선택 기준 비교",1인 가구 테이블 비교｜다용도 테이블,1인 가구 테이블,비교형,10.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
