cluster,primary_slug,url,title,primary_keyword,has_pillar,cluster_size,incoming_links,outgoing_links,word_count,title_confidence,factcheck_risk,authority_score,status,recommendations
electricity-bill,2026-08-07-cost-auto-431981,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-431981/,"혼자 사는 직장인, 덥고 추울 때마다 전기요금 폭탄 걱정된다면? 숨은 전력 도둑 잡고 요금 확 줄이는 3단계 전략",1인 가구 전기요금,no,2,1,3,1263,MEDIUM,yes,42,WEAK,내부 링크 부족 — 이 클러스터 글들에서 Primary Page로 링크 추가 | 제목 신뢰도 낮음 — 제목 개선 대상 | 사실 확인 위험 있음 — 내용 검증 후 권한 부여
electrical-safety,2026-08-05-safety-auto-d98bca,https://honsamnote.co.kr/blog/2026-08-05-safety-auto-d98bca/,"혼자 사는 당신, 늦은 밤 갑자기 두꺼비집이 내려가거나 콘센트에서 스파크가 튈 때: 당황하지 않고 안전하게 확인하고 대처하는 법",혼자사는전기사고,no,2,2,3,1107,MEDIUM,yes,47,MODERATE,제목 신뢰도 낮음 — 제목 개선 대상 | 사실 확인 위험 있음 — 내용 검증 후 권한 부여
subscription-cost,2026-07-30-cost-5,https://honsamnote.co.kr/blog/2026-07-30-cost-5/,"바쁜 1인 가구 직장인, 매달 새는 돈 막으려면? 잠든 구독 서비스 깨끗하게 정리하는 3단계",구독서비스 정리,no,1,3,2,868,MEDIUM,yes,48.5,MODERATE,제목 신뢰도 낮음 — 제목 개선 대상 | 사실 확인 위험 있음 — 내용 검증 후 권한 부여
bathroom-storage,2026-08-08-storage-auto-9dbb87,https://honsamnote.co.kr/blog/2026-08-08-storage-auto-9dbb87/,1인 가구 욕실 수납 알아보기｜좁은 욕실 정리,1인 가구 욕실 수납,no,1,1,2,1019,MEDIUM,no,48.5,MODERATE,내부 링크 부족 — 이 클러스터 글들에서 Primary Page로 링크 추가 | 제목 신뢰도 낮음 — 제목 개선 대상
move-out-registration,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,퇴실청소 분쟁,no,1,2,2,1111,HIGH,yes,50.5,MODERATE,사실 확인 위험 있음 — 내용 검증 후 권한 부여
solo-travel-hobby,2026-08-10-lifestyle-auto-3e13f1,https://honsamnote.co.kr/blog/2026-08-10-lifestyle-auto-3e13f1/,1인 가구 여행 알아보기｜혼자 여행,1인 가구 여행,no,1,2,2,1244,MEDIUM,no,53.5,MODERATE,제목 신뢰도 낮음 — 제목 개선 대상
living-services,2026-08-06-products-auto-6e0ac5,https://honsamnote.co.kr/blog/2026-08-06-products-auto-6e0ac5/,1인 가구 이사 비용 정리｜이사 서비스,1인 가구 이사,no,1,1,2,1169,HIGH,no,55.5,MODERATE,내부 링크 부족 — 이 클러스터 글들에서 Primary Page로 링크 추가
gas-safety,2026-08-08-safety-auto-84a0bd,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-84a0bd/,1인 가구 가스 냄새 방법｜가스 누출,1인 가구 가스 냄새,no,1,1,2,1141,HIGH,no,55.5,MODERATE,내부 링크 부족 — 이 클러스터 글들에서 Primary Page로 링크 추가
storage-products,2026-08-09-products-auto-b63f8d,https://honsamnote.co.kr/blog/2026-08-09-products-auto-b63f8d/,1인 가구 옷 정리 방법｜좁은 집 옷 수납,1인 가구 옷 정리,no,1,1,2,1462,HIGH,no,55.5,MODERATE,내부 링크 부족 — 이 클러스터 글들에서 Primary Page로 링크 추가
telecom-bill,2026-07-30-cost-3,https://honsamnote.co.kr/blog/2026-07-30-cost-3/,"혼자 사는 직장인, 통신비 월 2만원 아끼는 알뜰폰+인터넷 vs 3사 결합, 현명한 선택 가이드",1인 가구 통신비,no,3,8,4,1769,MEDIUM,yes,62.5,MODERATE,제목 신뢰도 낮음 — 제목 개선 대상 | 사실 확인 위험 있음 — 내용 검증 후 권한 부여
landlord-issues,2026-08-06-housing-auto-778093,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-778093/,"혼자 사는 직장인, 우리 집 안전 지킴이! 디지털 도어락 vs 보조키, 내게 맞는 현명한 선택은?",혼자 사는 집 안전,no,6,7,6,1646,MEDIUM,yes,67,MODERATE,제목 신뢰도 낮음 — 제목 개선 대상 | 사실 확인 위험 있음 — 내용 검증 후 권한 부여
cable-small-items,2026-08-10-storage-auto-0a8470,https://honsamnote.co.kr/blog/2026-08-10-storage-auto-0a8470/,1인 가구 케이블 정리 알아보기｜충전기 수납,1인 가구 케이블 정리,no,1,5,2,1111,MEDIUM,no,68.5,MODERATE,제목 신뢰도 낮음 — 제목 개선 대상
air-environment,2026-08-07-products-auto-4602dc,https://honsamnote.co.kr/blog/2026-08-07-products-auto-4602dc/,"혼자 사는 직장인, 좁은 집 빨래 건조가 매번 스트레스라면? 의류건조기 vs. 제습기+건조대, 내게 딱 맞는 선택은?",1인 가구 빨래,no,4,10,5,2523,LOW,no,69,MODERATE,제목 신뢰도 낮음 — 제목 개선 대상
neighbor-noise,2026-08-07-lifestyle-auto-6e452d,https://honsamnote.co.kr/blog/2026-08-07-lifestyle-auto-6e452d/,이웃 부담 알아보기｜낯선 이웃,이웃 부담,no,2,5,3,1054,MEDIUM,no,71,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
trash-disposal,2026-08-01-cleaning-auto-84665e,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-84665e/,1인 가구 쓰레기 알아보기｜원룸 분리수거,1인 가구 쓰레기,no,2,5,3,1275,MEDIUM,no,71,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
entryway-storage,2026-08-01-storage-auto-c94563,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-c94563/,현관 정리 알아보기｜좁은 현관 수납,현관 정리,no,3,6,4,928,MEDIUM,no,72.5,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
closet-clothing,2026-08-07-storage-auto-613d62,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-613d62/,1인 가구 옷 정리 알아보기｜좁은 옷장 수납,1인 가구 옷 정리,no,3,6,4,1258,MEDIUM,no,72.5,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
general-living-cost,2026-07-29-cost-1,https://honsamnote.co.kr/blog/2026-07-29-cost-1/,"월급날 한숨만? 1인 가구 직장인의 한 달 고정비, 이대로 따라 하면 무조건 줄어듭니다",1인 가구 고정비,no,53,51,6,1062,MEDIUM,yes,73,STRONG,제목 신뢰도 낮음 — 제목 개선 대상 | 사실 확인 위험 있음 — 내용 검증 후 권한 부여
moving-prep,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",원룸 계약 전 확인사항,no,10,28,6,1300,MEDIUM,yes,73,STRONG,제목 신뢰도 낮음 — 제목 개선 대상 | 사실 확인 위험 있음 — 내용 검증 후 권한 부여
kitchen-appliances,2026-08-10-products-auto-b0092a,https://honsamnote.co.kr/blog/2026-08-10-products-auto-b0092a/,"혼자 사는 직장인, 퇴근 후 간편하고 맛있는 요리, 어떤 조리 기구가 답일까? 에어프라이어 vs 전자레인지, 내게 맞는 최적의 선택은?",1인 가구 에어프라이어,no,7,6,6,1008,LOW,no,73.5,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
