post_id,url,title,total_phrase_count,top_phrase,top_phrase_count,all_phrases,priority,note
2026-07-30-lifestyle-64,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-64/,퇴근 후 시간 낭비 해결 방법｜무기력 극복,15,퇴근 후,12,퇴근 후(12); 혼자 사는 직장인(1); 1인 가구 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-09-lifestyle-auto-12d150,https://honsamnote.co.kr/blog/2026-08-09-lifestyle-auto-12d150/,1인 가구 생활 리듬 방법｜코어 루틴 만들기,14,퇴근 후,11,퇴근 후(11); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-lifestyle-auto-7d8463,https://honsamnote.co.kr/blog/2026-08-06-lifestyle-auto-7d8463/,퇴근 후 활동 비교｜소규모 취미,12,퇴근 후,10,퇴근 후(10); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-05-housing-auto-f0090f,https://honsamnote.co.kr/blog/2026-08-05-housing-auto-f0090f/,"혼자 사는 직장인, 다음 집 어디로 갈까? 퇴근 후 짬 내서 내게 맞는 전월세집 똑똑하게 찾는 순서",11,퇴근 후,6,퇴근 후(6); 혼자 사는 직장인(4); 스마트하게(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-11-food-auto-452e94,https://honsamnote.co.kr/blog/2026-08-11-food-auto-452e94/,1인 가구 채소 비교｜샐러드 정기배송,11,퇴근 후,4,현실적인 방법(1); 현명한 선택(2); 퇴근 후(4); 혼자 사는 직장인(4),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-05-lifestyle-auto-420299,https://honsamnote.co.kr/blog/2026-08-05-lifestyle-auto-420299/,재택근무 루틴 알아보기｜재택근무 생활 리듬,10,퇴근 후,8,퇴근 후(8); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-products-auto-4602dc,https://honsamnote.co.kr/blog/2026-08-07-products-auto-4602dc/,"혼자 사는 직장인, 좁은 집 빨래 건조가 매번 스트레스라면? 의류건조기 vs. 제습기+건조대, 내게 딱 맞는 선택은?",10,퇴근 후,4,현명한 선택(2); 퇴근 후(4); 혼자 사는 직장인(4),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-food-auto-0f5d02,https://honsamnote.co.kr/blog/2026-08-01-food-auto-0f5d02/,1인 가구 장보기 비교｜온라인 장보기,9,퇴근 후,5,현명한 선택(1); 퇴근 후(5); 혼자 사는 직장인(2); 1인 가구 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-05-products-auto-8d663c,https://honsamnote.co.kr/blog/2026-08-05-products-auto-8d663c/,"혼자 사는 직장인, 퇴근 후 드라이클리닝 번거롭다면? 동네 세탁소 vs 세탁 앱 vs 홈케어, 내게 맞는 선택은?",9,퇴근 후,5,퇴근 후(5); 혼자 사는 직장인(1); 1인 가구 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-food-auto-e08b8c,https://honsamnote.co.kr/blog/2026-08-07-food-auto-e08b8c/,1인 가구 식사 해결 방법｜냉동 간편식,9,퇴근 후,4,현실적인 방법(1); 현명한 선택(2); 퇴근 후(4); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-08-products-auto-57c503,https://honsamnote.co.kr/blog/2026-08-08-products-auto-57c503/,"혼자 사는 직장인, 퇴근 후 끈적한 바닥에 지쳤다면? 1인 가구 로봇 물걸레 청소기 vs 무선 전동 물걸레 청소기, 나에게 맞는 현명한 선택은?",9,퇴근 후,4,현명한 선택(1); 퇴근 후(4); 혼자 사는 직장인(2); 1인 가구 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-lifestyle-auto-ab470f,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-ab470f/,1인 가구 연애 비교｜데이팅 앱,8,퇴근 후,3,현실적인 방법(1); 퇴근 후(3); 혼자 사는 직장인(2); 1인 가구 직장인(1); 스마트하게(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-04-cost-auto-dac7b3,https://honsamnote.co.kr/blog/2026-08-04-cost-auto-dac7b3/,"혼자 사는 직장인, 건강 관리 돈 아끼려면? 헬스장 vs 홈트 vs 야외 운동, 내게 맞는 선택 기준 3가지",8,퇴근 후,4,현명한 선택(1); 퇴근 후(4); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-04-housing-auto-24e082,https://honsamnote.co.kr/blog/2026-08-04-housing-auto-24e082/,1인 가구 보안 비교｜스마트 홈CCTV,8,혼자 사는 직장인,3,혼자 사는 당신(2); 현명한 선택(1); 퇴근 후(2); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-food-auto-ef165d,https://honsamnote.co.kr/blog/2026-08-06-food-auto-ef165d/,1인 가구 장보기 비교｜신선 채소 구매,8,퇴근 후,3,현명한 선택(2); 퇴근 후(3); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-08-lifestyle-auto-83e6d5,https://honsamnote.co.kr/blog/2026-08-08-lifestyle-auto-83e6d5/,혼자 사는 불편함 알아보기｜퇴근 후 적막,8,퇴근 후,5,퇴근 후(5); 혼자 사는 직장인(2); 현실 가이드(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-08-products-auto-c4d689,https://honsamnote.co.kr/blog/2026-08-08-products-auto-c4d689/,"혼자 사는 직장인, 퇴근 후 빠르고 근사한 한 끼 식사, 매번 고민된다면? 밀키트 vs. 가정간편식(HMR), 나에게 딱 맞는 선택은?",8,퇴근 후,3,현명한 선택(1); 퇴근 후(3); 혼자 사는 직장인(2); 1인 가구 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-10-food-auto-0b9c15,https://honsamnote.co.kr/blog/2026-08-10-food-auto-0b9c15/,혼자 사는 직장인 식사 비교｜저녁 메뉴 고민,8,퇴근 후,6,퇴근 후(6); 혼자 사는 직장인(1); 1인 가구 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
