rank,post_id,url,current_title,proposed_title,primary_keyword,search_intent,cluster,primary_page,score,grade,confidence,action,reason
1,2026-07-30-lifestyle-59,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-59/,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",1인 가구 무기력 방법｜퇴근 후 무기력,1인 가구 무기력,방법형,loneliness-isolation,yes,12.4,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
2,2026-07-29-food-9,https://honsamnote.co.kr/blog/2026-07-29-food-9/,퇴근 후 지쳐도 괜찮아: 1인 가구 직장인이 냉장고 털어 일주일 식단을 미리 짜는 현실적인 방법,1인 가구 식단 방법｜일주일 식단 짜기,1인 가구 식단,방법형,solo-meal-recipe,yes,10.8,A,HIGH,APPLIED,"A등급 재판정: score 10.8, 대표 키워드+의도 포함, 충돌 없음"
3,2026-08-06-food-auto-38c543,https://honsamnote.co.kr/blog/2026-08-06-food-auto-38c543/,"혼자 사는 직장인, 냉장고 문 열 때마다 스멀스멀 올라오는 퀴퀴한 냄새? 식욕도 위생도 살리는 깔끔한 해결법",혼자 사는 직장인 냉장고 냄새 알아보기｜냉장고 청소,혼자 사는 직장인 냉장고 냄새,질문형,ingredient-storage,yes,10.8,A,HIGH,APPLIED,"A등급 재판정: score 10.8, 대표 키워드+의도 포함, 충돌 없음"
4,2026-08-01-lifestyle-auto-ab470f,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-ab470f/,"혼자 사는 직장인, 새로운 인연 찾기가 막막하다면? 데이팅 앱 vs. 오프라인 모임, 나에게 맞는 선택 기준",1인 가구 연애 비교｜데이팅 앱,1인 가구 연애,비교형,relationship-management,yes,10.6,A,HIGH,APPLIED,"A등급 재판정: score 10.6, 대표 키워드+의도 포함, 충돌 없음"
5,2026-07-30-cleaning-32,https://honsamnote.co.kr/blog/2026-07-30-cleaning-32/,"퇴근 후 녹초가 된 1인 가구 직장인, 집안일 자동화 가전으로 얻을 수 있는 시간과 돈은?",1인 가구 청소 알아보기｜집안일 자동화,1인 가구 청소,질문형,laundry-clothing,no,10.5,A,HIGH,APPLIED,"A등급 재판정: score 10.5, 대표 키워드+의도 포함, 충돌 없음"
6,2026-07-30-safety-33,https://honsamnote.co.kr/blog/2026-07-30-safety-33/,"혼자 사는 당신, 갑자기 아플 때 후회하지 않을 '생활 비상 키트' 미리 준비하기",혼자 아플 때 해결 방법｜비상약,혼자 아플 때,문제해결형,emergency-response,yes,10.5,A,HIGH,APPLIED,"A등급 재판정: score 10.5, 대표 키워드+의도 포함, 충돌 없음"
7,2026-07-30-storage-18,https://honsamnote.co.kr/blog/2026-07-30-storage-18/,"퇴근 후 좁은 원룸, 넘쳐나는 계절옷을 깔끔하게 정리하고 보관하는 현실적인 팁",계절옷 보관 해결 방법｜좁은 집 수납,계절옷 보관,문제해결형,oneroom-storage,yes,10.5,A,HIGH,APPLIED,"A등급 재판정: score 10.5, 대표 키워드+의도 포함, 충돌 없음"
8,2026-07-30-storage-20,https://honsamnote.co.kr/blog/2026-07-30-storage-20/,"바쁜 1인 가구 직장인, 퇴근 후에도 어지러운 주방? 딱 3단계로 끝내는 현실적인 정리법",1인 가구 주방 알아보기｜원룸 주방 정리,1인 가구 주방,질문형,kitchen-storage,yes,10.5,A,HIGH,APPLIED,"A등급 재판정: score 10.4, 대표 키워드+의도 포함, 충돌 없음"
9,2026-07-30-storage-21,https://honsamnote.co.kr/blog/2026-07-30-storage-21/,"현관 열자마자 꿉꿉한 냄새? 1인 가구 신발장 냄새, 근본부터 해결하는 현실 관리법",신발장 냄새 제거 알아보기｜신발 냄새 없애는 법,신발장 냄새 제거,질문형,oneroom-storage,no,10.5,A,HIGH,APPLIED,"A등급 재판정: score 10.5, 대표 키워드+의도 포함, 충돌 없음"
10,2026-08-06-cleaning-auto-907063,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-907063/,"혼자 사는 당신, 현관문 열자마자 신발장 냄새에 미간 찌푸린다고요? 10분 만에 꿉꿉한 냄새 싹 잡고 쾌적하게 만드는 현실 솔루션",신발 냄새 제거 알아보기｜신발장 관리,신발 냄새 제거,질문형,odor-removal,yes,10.5,A,HIGH,APPLIED,"A등급 재판정: score 10.5, 대표 키워드+의도 포함, 충돌 없음"
