id,post_id,url,title,claim_type,sub_category,claim,current_value,verification_status,authoritative_source,source_date,checked_date,recommended_text,action,classification_basis
1,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",가격,가격범위,이사 비용 (최소 30만 원~100만 원 이상)， 부동산 중개 수수료 (월세의 경우 월세액의 0.5% 이내， 전세의 경우 전세금의 0.3~0.5% 이내로 법정 요율 확인 필요)， 수도， 전기， 가스 명의 변경 및 최초 청구 비용， 인터넷 설치비， 생필품 구매 비용 등 초기 목돈이 생각보다 많이 듭니다.,30만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
2,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",가격,가격범위,이사 비용 (최소 30만 원~100만 원 이상)， 부동산 중개 수수료 (월세의 경우 월세액의 0.5% 이내， 전세의 경우 전세금의 0.3~0.5% 이내로 법정 요율 확인 필요)， 수도， 전기， 가스 명의 변경 및 최초 청구 비용， 인터넷 설치비， 생필품 구매 비용 등 초기 목돈이 생각보다 많이 듭니다.,100만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
4,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",통계,통계수치,이사 비용 (최소 30만 원~100만 원 이상)， 부동산 중개 수수료 (월세의 경우 월세액의 0.5% 이내， 전세의 경우 전세금의 0.3~0.5% 이내로 법정 요율 확인 필요)， 수도， 전기， 가스 명의 변경 및 최초 청구 비용， 인터넷 설치비， 생필품 구매 비용 등 초기 목돈이 생각보다 많이 듭니다.,0.5%,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 수치 출처 확인 필요.,통계 수치 유형 — 출처 미확인
5,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",가격,가격범위,이사 비용 (최소 30만 원~100만 원 이상)， 부동산 중개 수수료 (월세의 경우 월세액의 0.5% 이내， 전세의 경우 전세금의 0.3~0.5% 이내로 법정 요율 확인 필요)， 수도， 전기， 가스 명의 변경 및 최초 청구 비용， 인터넷 설치비， 생필품 구매 비용 등 초기 목돈이 생각보다 많이 듭니다.,수수료 (월세의 경우 월세액의 0,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
6,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",통계,통계수치,소요 시간: 약 10~20분 (매물당).,약 10,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 수치 출처 확인 필요.,통계 수치 유형 — 출처 미확인
10,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",법률,법률,이 스탬프는 접수 번호， 일자， 기관명 등이 포함되어 있으며， 보증금을 보호하는 중요한 증거가 됩니다.,보증금을 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
12,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",법률,법률,이사 직후 미루다가 집주인에게 예기치 못한 문제가 발생(예: 집이 경매로 넘어감)하면 당신의 보증금이 보호받지 못하거나 후순위로 밀려날 수 있습니다.,보증금이 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
15,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",행정,행정,(전입신고 기한) □ 임대차 계약서 원본을 준비했는가?,전입신고 기한,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
19,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",법률,법률,직접 계약을 체결한 임차인만이 보증금을 보호받을 수 있습니다.,임차인만이 보증금을 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
20,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",가격,가격범위,비용: 전입신고: 무료 확정일자: 주민센터 방문: 600원 인터넷 등기소(온라인): 500원 매우 저렴한 비용으로 당신의 수천만 원 보증금을 지킬 수 있습니다.,600원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
