pillar_id,cluster,grade,member_count,avg_incoming,primary_title_confidence,decision,reason
emergency-response-guide,emergency-response,B,42,6,HIGH,PROMOTE,"멤버 42개, 평균 인링크 6, Primary=HIGH — A등급 승격 조건 충족"
kitchen-cleaning-guide,kitchen-cleaning,B,12,6.2,HIGH,PROMOTE,"멤버 12개, 평균 인링크 6.2, Primary=HIGH — A등급 승격 조건 충족"
bathroom-cleaning-guide,bathroom-cleaning,B,14,6.8,HIGH,PROMOTE,"멤버 14개, 평균 인링크 6.8, Primary=HIGH — A등급 승격 조건 충족"
new-products-general-guide,products-general,NEW,62,2.3,UNKNOWN,CANDIDATE,"멤버 62개 — 후보이나 기준 미충족, 추가 성장 후 재검토"
new-general-living-cost-guide,general-living-cost,NEW,53,5.6,MEDIUM,PROMOTE_NEW,"멤버 53개, 평균 인링크 5.6 — 신규 B등급 Pillar 생성 권장"
new-food-waste-guide,food-waste,NEW,28,5.5,MEDIUM,PROMOTE_NEW,"멤버 28개, 평균 인링크 5.5 — 신규 B등급 Pillar 생성 권장"
new-cleaning-general-guide,cleaning-general,NEW,15,1.6,UNKNOWN,CANDIDATE,"멤버 15개 — 후보이나 기준 미충족, 추가 성장 후 재검토"
new-food-general-guide,food-general,NEW,15,2.3,UNKNOWN,CANDIDATE,"멤버 15개 — 후보이나 기준 미충족, 추가 성장 후 재검토"
new-deposit-guide,deposit,NEW,13,5.3,HIGH,CANDIDATE,"멤버 13개 — 후보이나 기준 미충족, 추가 성장 후 재검토"
new-daily-rhythm-guide,daily-rhythm,NEW,12,7.3,HIGH,CANDIDATE,"멤버 12개 — 후보이나 기준 미충족, 추가 성장 후 재검토"
new-lease-contract-guide,lease-contract,NEW,11,5.2,HIGH,CANDIDATE,"멤버 11개 — 후보이나 기준 미충족, 추가 성장 후 재검토"
new-housing-general-guide,housing-general,NEW,11,1.5,UNKNOWN,CANDIDATE,"멤버 11개 — 후보이나 기준 미충족, 추가 성장 후 재검토"
new-solo-meal-recipe-guide,solo-meal-recipe,NEW,10,7.8,HIGH,CANDIDATE,"멤버 10개 — 후보이나 기준 미충족, 추가 성장 후 재검토"
