post_id,category,title,search_intent,has_conclusion_section,conclusion_section_title,p1_category,action,applied,note
2026-07-30-food-15,food,1인용 밀키트 비교｜밀키트 추천,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-07-30-storage-23,storage,1인 가구 이사 알아보기｜이사 짐 줄이기,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-07-31-cleaning-79,cleaning,1인 가구 청소 비교｜정기 청소서비스 비용,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-01-cleaning-auto-2b8bbd,cleaning,옷 얼룩 제거 알아보기｜커피 얼룩,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-01-cleaning-auto-e1e505,cleaning,벽 곰팡이 알아보기｜곰팡이 없애는 법,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-01-food-auto-976f1b,food,1인 가구 식재료 알아보기｜대용량 식재료,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-01-lifestyle-auto-976633,lifestyle,"1인 가구 직장인, '혼자라서 시간 많지?' 오해에 지쳤다면? 퇴근 후 내 시간 지키는 현명한 거절법",질문형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-01-lifestyle-auto-a6f950,lifestyle,1인 가구 경조사 알아보기｜혼자 경조사,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-01-products-auto-7e3829,products,1인 가구 폐기물 비교｜대형 폐기물 처리,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-03-cleaning-auto-fc046f,cleaning,구겨진 옷 해결 비교｜다림질 스팀다리미 비교,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-03-food-auto-b8f8a0,food,1인 가구 고기 알아보기｜혼자 생선,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-03-food-auto-f85a75,food,"1인 가구, '이거 왜 샀지?' 냉장고 속 낯선 식재료, 버릴까 말까? 알뜰하게 다 쓰는 활용법",질문형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-03-lifestyle-auto-7c20c0,lifestyle,1인 가구 인간관계 알아보기｜다시 모임 시작,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
