main_post,duplicate_post,similarity_reason,recommended_action,expected_primary_keyword,redirect_required
2026-07-30-cost-3,2026-07-30-cost-80,"같은 세부 클러스터(telecom-bill) / 공통 표현: 1인 가구 통신비, 알뜰폰 (유사도 0.6)",B. 역할 분리 검토,1인 가구 통신비,아니오
2026-07-30-cost-80,2026-08-08-cost-auto-123a00,같은 세부 클러스터(telecom-bill) / 공통 표현: 알뜰폰 (유사도 0.5),B. 역할 분리 검토,알뜰폰,아니오
2026-08-01-cost-auto-aa6f9d,2026-08-06-cost-auto-f652a0,"같은 세부 클러스터(general-living-cost) / 공통 표현: 생활비 아끼기, 중고거래 (유사도 0.52)",B. 역할 분리 검토,1인가구 가전,아니오
2026-08-01-cost-auto-e9d2d3,2026-08-07-cost-auto-7256ba,"같은 세부 클러스터(general-living-cost) / 공통 표현: 가전제품, 가구 (유사도 0.54)",B. 역할 분리 검토,1인 가구 가전,아니오
2026-08-03-cost-auto-4d199c,2026-08-08-cost-auto-c1b0b5,"같은 세부 클러스터(general-living-cost) / 공통 표현: 교통비, 카셰어링, 교통비 절약 (유사도 0.62)",B. 역할 분리 검토,교통비,아니오
2026-07-30-food-16,2026-07-30-food-12,"같은 세부 클러스터(food-waste) / 공통 표현: 혼밥 식재료, 음식물 쓰레기 줄이기 (유사도 0.64)",B. 역할 분리 검토,음식물 쓰레기 처리,아니오
2026-08-01-food-auto-0ac183,2026-07-30-food-12,같은 세부 클러스터(food-waste) / 공통 표현: 음식물 쓰레기 줄이기 (유사도 0.51),B. 역할 분리 검토,남은 채소 보관,아니오
2026-07-30-food-12,2026-08-01-food-auto-174113,같은 세부 클러스터(food-waste) / 공통 표현: 혼밥 식재료 (유사도 0.53),B. 역할 분리 검토,남은 음식 활용법,아니오
2026-07-30-food-13,2026-08-06-food-auto-19b20f,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 식단 (유사도 0.51),B. 역할 분리 검토,배달음식 보관,아니오
2026-07-30-food-13,2026-08-07-food-auto-f5cf37,같은 세부 클러스터(food-waste) / 공통 표현: 자취 요리 (유사도 0.51),B. 역할 분리 검토,배달음식 보관,아니오
2026-07-30-food-16,2026-08-01-food-auto-0ac183,같은 세부 클러스터(food-waste) / 공통 표현: 음식물 쓰레기 줄이기 (유사도 0.5),B. 역할 분리 검토,음식물 쓰레기 처리,아니오
2026-07-30-food-16,2026-08-01-food-auto-174113,같은 세부 클러스터(food-waste) / 공통 표현: 혼밥 식재료 (유사도 0.52),B. 역할 분리 검토,음식물 쓰레기 처리,아니오
2026-07-30-food-16,2026-08-01-food-auto-6b8a79,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림 (유사도 0.5),B. 역할 분리 검토,음식물 쓰레기 처리,아니오
2026-07-30-food-16,2026-08-06-food-auto-75ad3e,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림 (유사도 0.5),B. 역할 분리 검토,음식물 쓰레기 처리,아니오
